fir_case_number,accused_full_name,role
KAR/KOL/2024/0166,Saksham Bhatia,Primary Suspect
KAR/BEN/2024/0813,Saksham Bhatia,Primary Suspect
KAR/BEL/2024/1819,Saksham Bhatia,Primary Suspect
KAR/MAN/2024/0885,Saksham Bhatia,Primary Suspect
KAR/MYS/2024/0701,Rachita Pradhan,Primary Suspect
KAR/TUM/2024/2210,Rachita Pradhan,Primary Suspect
KAR/BEN/2024/1656,Rachita Pradhan,Primary Suspect
KAR/SHI/2024/2484,Rachita Pradhan,Primary Suspect
KAR/MYS/2024/0691,Rachita Pradhan,Primary Suspect
KAR/UDU/2024/0321,Rachita Pradhan,Primary Suspect
KAR/BEN/2024/1444,Bhavna Dutt,Primary Suspect
KAR/BAL/2024/1773,Bhavna Dutt,Primary Suspect
KAR/RAI/2024/0625,Bhavna Dutt,Primary Suspect
KAR/CHI/2024/1495,Bhavna Dutt,Primary Suspect
KAR/HUB/2024/0355,Bhavna Dutt,Primary Suspect
KAR/BID/2024/0590,Bhavna Dutt,Primary Suspect
KAR/TUM/2024/0960,Bhavna Dutt,Primary Suspect
KAR/BEN/2024/1795,Yatin Ratti,Primary Suspect
KAR/BEL/2024/1287,Yatin Ratti,Primary Suspect
KAR/VIJ/2024/1101,Yatin Ratti,Primary Suspect
KAR/BEN/2024/0296,Yatin Ratti,Primary Suspect
KAR/BEN/2024/1047,Yatin Ratti,Primary Suspect
KAR/BEN/2024/1825,Yatin Ratti,Primary Suspect
KAR/UDU/2024/1003,Yatin Ratti,Primary Suspect
KAR/MAN/2024/0568,Yatin Ratti,Primary Suspect
KAR/VIJ/2024/1180,Avni Nagi,Primary Suspect
KAR/KOP/2024/0186,Avni Nagi,Primary Suspect
KAR/VIJ/2024/0615,Avni Nagi,Primary Suspect
KAR/VIJ/2024/2131,Avni Nagi,Primary Suspect
KAR/BEN/2024/1702,Avni Nagi,Primary Suspect
KAR/BID/2024/1041,Avni Nagi,Primary Suspect
KAR/DAV/2024/1004,Avni Nagi,Primary Suspect
KAR/BEL/2024/1685,Avni Nagi,Primary Suspect
KAR/MAN/2024/2033,Samuel Ganguly,Primary Suspect
KAR/KOP/2024/2300,Samuel Ganguly,Primary Suspect
KAR/KOP/2024/0456,Samuel Ganguly,Primary Suspect
KAR/BEN/2024/0637,Samuel Ganguly,Primary Suspect
KAR/CHI/2024/0851,Samuel Ganguly,Primary Suspect
KAR/BAL/2024/0767,Samuel Ganguly,Primary Suspect
KAR/MYS/2024/0691,Vihaan Saxena,Accomplice
KAR/RAI/2024/2329,Abdul Sanghvi,Primary Suspect
KAR/BEN/2024/1170,Brijesh Tata,Primary Suspect
KAR/KAL/2024/0861,Advay Badal,Primary Suspect
KAR/BEN/2024/2075,Eiravati Aurora,Co-conspirator
KAR/KAL/2024/1258,Aarav Ganesh,Co-conspirator
KAR/BEN/2024/0009,Girik Dara,Accomplice
KAR/KOL/2024/1940,Logan Minhas,Accomplice
KAR/BEN/2024/1285,Naksh Dube,Primary Suspect
KAR/BEN/2024/1563,Krish Chadha,Co-conspirator
KAR/CHI/2024/0088,Yug Rege,Co-conspirator
KAR/MAN/2024/1668,Yashoda Dyal,Co-conspirator
KAR/KOL/2024/2426,Widisha More,Accomplice
KAR/HUB/2024/1274,Pratyush Lala,Primary Suspect
KAR/BEL/2024/0440,Guneet Kothari,Accomplice
KAR/MAN/2024/1259,Yatan Walla,Co-conspirator
KAR/CHI/2024/0846,Champak Natt,Accomplice
KAR/BID/2024/0931,Yauvani Dhawan,Co-conspirator
KAR/MAN/2024/0182,Girik Date,Accomplice
KAR/HAS/2024/2432,Azaan Dayal,Primary Suspect
KAR/BEN/2024/1296,Ekavir Dugal,Primary Suspect
KAR/VIJ/2024/2457,Reyansh Majumdar,Accomplice
KAR/MAN/2024/1671,Rachit Kunda,Co-conspirator
KAR/BEL/2024/2190,Nachiket Narayanan,Co-conspirator
KAR/CHI/2024/2388,Balendra Garde,Co-conspirator
KAR/KAL/2024/1678,Brijesh Sahni,Accomplice
KAR/RAI/2024/0729,Jonathan Gade,Accomplice
KAR/BEN/2024/0986,Ira Narain,Accomplice
KAR/BEN/2024/0783,Nidhi Mann,Co-conspirator
KAR/VIJ/2024/2259,Ryan Rattan,Primary Suspect
KAR/BEN/2024/0068,Rohan Lata,Co-conspirator
KAR/KOL/2024/1451,Harsh Deep,Primary Suspect
KAR/BEN/2024/0997,Patrick Kara,Accomplice
KAR/UDU/2024/0437,Madhavi Badal,Accomplice
KAR/VIJ/2024/2377,Chatura Bhakta,Accomplice
KAR/MAN/2024/1986,Inaya Jaggi,Primary Suspect
KAR/BAL/2024/0334,Matthew Mannan,Primary Suspect
KAR/KOL/2024/0550,Samar Buch,Accomplice
KAR/KAL/2024/0740,Jagvi Misra,Primary Suspect
KAR/SHI/2024/0173,Fariq Gaba,Co-conspirator
KAR/BEN/2024/2340,Anirudh Sule,Primary Suspect
KAR/RAI/2024/2367,Girik Doshi,Co-conspirator
KAR/BEN/2024/1491,Matthew Bala,Accomplice
KAR/BEN/2024/1249,Praneel Kale,Primary Suspect
KAR/BEN/2024/2217,Nirja Goda,Accomplice
KAR/BEN/2024/0755,Faras Nigam,Accomplice
KAR/BEL/2024/1130,Vedant Ravi,Primary Suspect
KAR/BEN/2024/2477,Forum Soni,Accomplice
KAR/BEN/2024/1890,Eesha Tata,Co-conspirator
KAR/MAN/2024/1918,Chandresh Samra,Accomplice
KAR/BEN/2024/0829,Rishi Loke,Primary Suspect
KAR/BEN/2024/0991,Arjun Garg,Primary Suspect
KAR/BEL/2024/2203,Ryan Goda,Co-conspirator
KAR/KOP/2024/2000,Dhruv Gulati,Accomplice
KAR/BEN/2024/0534,Amrita Loyal,Accomplice
KAR/RAI/2024/1606,Ekavir Ratta,Primary Suspect
KAR/BEN/2024/1124,Kavya Wason,Primary Suspect
KAR/BEN/2024/2405,Ojas Gade,Co-conspirator
KAR/BEN/2024/2044,Andrew Gola,Accomplice
KAR/BEL/2024/0480,Warhi Mane,Co-conspirator
KAR/BEN/2024/0039,Hardik Bora,Co-conspirator
KAR/BEN/2024/2035,Nakul Gopal,Co-conspirator
KAR/HUB/2024/0852,Darsh Mukhopadhyay,Accomplice
KAR/MYS/2024/0860,Amrita Loyal,Primary Suspect
KAR/BEN/2024/1337,Jack Gill,Accomplice
KAR/MAN/2024/0397,Ekiya Bath,Accomplice
KAR/BEN/2024/1244,Nachiket Bhat,Co-conspirator
KAR/SHI/2024/0693,Naksh Chana,Primary Suspect
KAR/BEN/2024/0255,Ekansh Bahl,Co-conspirator
KAR/RAI/2024/2398,Siya Arya,Co-conspirator
KAR/MAN/2024/1672,Aarna Yogi,Primary Suspect
KAR/BEN/2024/0834,Rachana Shenoy,Co-conspirator
KAR/BEN/2024/1120,Darpan Rai,Co-conspirator
KAR/BEN/2024/1489,Kabir Goda,Co-conspirator
KAR/KOP/2024/1616,Upasna Bora,Primary Suspect
KAR/BEN/2024/0390,Kevin Madan,Accomplice
KAR/BEL/2024/0400,Nathaniel Hegde,Primary Suspect
KAR/BEN/2024/1093,Jagdish Chand,Co-conspirator
KAR/HUB/2024/1385,Nakul Vyas,Co-conspirator
KAR/BEN/2024/1726,Frado Bahl,Co-conspirator
KAR/SHI/2024/0519,Chatura Sankar,Co-conspirator
KAR/TUM/2024/2302,Gautam Balakrishnan,Co-conspirator
KAR/SHI/2024/0387,Mitesh Parmer,Primary Suspect
KAR/BEL/2024/1202,Kalpit Bhatia,Co-conspirator
KAR/TUM/2024/1823,Chatresh Mand,Accomplice
KAR/BEN/2024/1711,Robert Gara,Co-conspirator
KAR/BEN/2024/2218,Girik Gokhale,Accomplice
KAR/MYS/2024/1763,Tanvi Bansal,Accomplice
KAR/BEN/2024/1754,Lakshmi Lalla,Co-conspirator
KAR/MAN/2024/0715,Nicholas Bakshi,Primary Suspect
KAR/BEN/2024/1630,Gabriel Mittal,Primary Suspect
KAR/BAL/2024/2002,Anita Rout,Primary Suspect
KAR/UDU/2024/1995,Yashoda Dyal,Co-conspirator
KAR/BEN/2024/1604,Naveen Talwar,Primary Suspect
KAR/BEN/2024/0366,Ranveer Dhar,Accomplice
KAR/HUB/2024/0399,Neel Hans,Primary Suspect
KAR/BEN/2024/0883,Gautami Raghavan,Primary Suspect
KAR/SHI/2024/1037,Victor Kuruvilla,Co-conspirator
KAR/BAL/2024/2365,Qarin Dube,Primary Suspect
KAR/BEN/2024/1953,Harsh Mishra,Co-conspirator
KAR/RAI/2024/0093,Aayush Sarna,Co-conspirator
KAR/BEL/2024/2021,Jonathan Gade,Accomplice
KAR/MAN/2024/1757,Abdul Goda,Co-conspirator
KAR/UDU/2024/0620,Qarin Banik,Co-conspirator
KAR/MAN/2024/1932,Madhav Contractor,Accomplice
KAR/KOL/2024/0178,Gavin Rai,Accomplice
KAR/HAS/2024/2432,Gagan Gade,Accomplice
KAR/BEN/2024/1437,Jeremiah De,Accomplice
KAR/BEN/2024/0354,David Karan,Accomplice
KAR/CHI/2024/0164,Reyansh Devi,Accomplice
KAR/RAI/2024/1686,Banjeet Baria,Co-conspirator
KAR/HAS/2024/2096,Chatura Sharaf,Accomplice
KAR/MAN/2024/0129,Shaurya Narayan,Accomplice
KAR/BEN/2024/2254,Vedant Talwar,Accomplice
KAR/BAL/2024/2186,Zehaan Iyer,Co-conspirator
KAR/BAL/2024/1832,Aarna Minhas,Co-conspirator
KAR/SHI/2024/1787,Girindra Barman,Co-conspirator
KAR/HAS/2024/2458,Rachit Sethi,Co-conspirator
KAR/DAV/2024/0105,Raghav Chokshi,Co-conspirator
KAR/BEN/2024/0981,Vaishnavi Sabharwal,Accomplice
KAR/UDU/2024/0594,Chatresh Mishra,Co-conspirator
KAR/RAI/2024/0867,Naksh Dube,Accomplice
KAR/BEN/2024/2258,Dev Chauhan,Co-conspirator
KAR/MYS/2024/2080,Chaitanya Sekhon,Primary Suspect
KAR/BEN/2024/0059,Andrew Jayaraman,Accomplice
KAR/CHI/2024/1158,Chakradev Minhas,Accomplice
KAR/MAN/2024/1336,Kai Kapadia,Accomplice
KAR/BEN/2024/0790,Urishilla Nagarajan,Co-conspirator
KAR/TUM/2024/0419,Matthew Bala,Primary Suspect
KAR/KOL/2024/0814,Jeet Khurana,Primary Suspect
KAR/BEN/2024/1362,Damyanti Barad,Primary Suspect
KAR/KOP/2024/0925,Watika Mahajan,Primary Suspect
KAR/BEN/2024/0009,Widisha Kota,Primary Suspect
KAR/BEN/2024/0498,Jason Bumb,Accomplice
KAR/VIJ/2024/1596,Wahab Mohan,Primary Suspect
KAR/BEN/2024/1905,Parth Khurana,Co-conspirator
KAR/HUB/2024/2188,Rohan Krish,Accomplice
KAR/SHI/2024/2025,Mason Baral,Accomplice
KAR/BEN/2024/0008,Kiaan Balasubramanian,Accomplice
KAR/KAL/2024/2224,Ekalinga Saini,Co-conspirator
KAR/BEN/2024/0306,Neel Hans,Accomplice
KAR/BAL/2024/1363,Simon Date,Accomplice
KAR/BEL/2024/1722,Samar Lata,Primary Suspect
KAR/UDU/2024/0648,Harsh Mishra,Co-conspirator
KAR/BEN/2024/1604,Samaksh Subramaniam,Primary Suspect
KAR/BAL/2024/1590,Abhimanyu Luthra,Accomplice
KAR/BEN/2024/1058,Samar Buch,Co-conspirator
KAR/BEN/2024/2011,Nathaniel Dugar,Primary Suspect
KAR/MAN/2024/0432,Rushil Bose,Primary Suspect
KAR/KAL/2024/1962,George Ravel,Co-conspirator
KAR/HAS/2024/2357,Ekta Khatri,Co-conspirator
KAR/BEN/2024/1697,Faraj Saxena,Primary Suspect
KAR/BEN/2024/0050,Waida Doctor,Primary Suspect
KAR/HUB/2024/1493,Anjali Ramachandran,Primary Suspect
KAR/BEN/2024/0216,Omisha Chahal,Co-conspirator
KAR/CHI/2024/2022,Saksham Deol,Accomplice
KAR/KOL/2024/0550,Maanas Lata,Primary Suspect
KAR/KOL/2024/0067,Krisha Karan,Accomplice
KAR/HAS/2024/2274,Hitesh Goyal,Co-conspirator
KAR/CHI/2024/2061,Jeevika Rattan,Co-conspirator
KAR/HAS/2024/0238,Aarnav Narayanan,Primary Suspect
KAR/BEN/2024/2314,Anmol Handa,Primary Suspect
KAR/RAI/2024/1650,Liam Mody,Co-conspirator
KAR/RAI/2024/0915,Pranit Chatterjee,Accomplice
KAR/BEN/2024/0595,Oni Acharya,Accomplice
KAR/DAV/2024/1951,Tristan Bajaj,Primary Suspect
KAR/HUB/2024/1956,Anay Chawla,Co-conspirator
KAR/TUM/2024/1805,Shaurya Luthra,Primary Suspect
KAR/VIJ/2024/0824,Zehaan Wagle,Accomplice
KAR/BEN/2024/2050,Kalpit Bhatia,Accomplice
KAR/TUM/2024/0083,Aarush Patil,Accomplice
KAR/KOL/2024/2059,Amara Nayak,Accomplice
KAR/BEN/2024/0988,Harshil Bhavsar,Accomplice
KAR/BEN/2024/0949,Eta Dada,Co-conspirator
KAR/VIJ/2024/0274,Ranveer Barad,Accomplice
KAR/BEN/2024/1575,Kabir Lall,Primary Suspect
KAR/BEN/2024/1738,Meghana Panchal,Accomplice
KAR/MYS/2024/0482,Tejas Ray,Accomplice
KAR/KAL/2024/0131,Laban Iyengar,Co-conspirator
KAR/BEN/2024/0567,Oliver Buch,Co-conspirator
KAR/KAL/2024/0461,Laban Bhatia,Primary Suspect
KAR/BEN/2024/0319,Ria Hayer,Co-conspirator
KAR/KOP/2024/1750,Peter Hora,Co-conspirator
KAR/BEN/2024/2112,Amol Bhakta,Primary Suspect
KAR/BEN/2024/1147,Devansh Thakur,Primary Suspect
KAR/KOL/2024/0656,Guneet Kakar,Primary Suspect
KAR/BEN/2024/1705,Neel Sheth,Accomplice
KAR/BAL/2024/2434,Naksh Jani,Primary Suspect
KAR/DAV/2024/2233,Jonathan Chander,Accomplice
KAR/BID/2024/2019,Krisha Kannan,Primary Suspect
KAR/BEN/2024/1414,Yuvraj Padmanabhan,Accomplice
KAR/KOP/2024/2120,Dakshesh Jayaraman,Accomplice
KAR/CHI/2024/1548,Jeet Dutt,Accomplice
KAR/BEN/2024/0012,Charles Din,Primary Suspect
KAR/BEN/2024/0167,Maanav Venkataraman,Primary Suspect
KAR/HUB/2024/0853,Peter Char,Co-conspirator
KAR/BID/2024/1041,Jagrati Murthy,Primary Suspect
KAR/KOP/2024/1299,Zayyan Gade,Primary Suspect
KAR/MAN/2024/2428,Fariq Gaba,Accomplice
KAR/BEN/2024/0076,Abhimanyu Saha,Co-conspirator
KAR/DAV/2024/0292,Guneet Sehgal,Primary Suspect
KAR/KAL/2024/0739,Balveer Doctor,Accomplice
KAR/BEL/2024/2190,Nathaniel Das,Accomplice
KAR/BEN/2024/2087,Bahadurjit Raja,Accomplice
KAR/MAN/2024/1472,Xavier Thakur,Accomplice
KAR/BEN/2024/1754,Aarnav Mannan,Co-conspirator
KAR/BEN/2024/1296,Varenya Sharaf,Co-conspirator
KAR/DAV/2024/0277,Ranbir Sandhu,Primary Suspect
KAR/SHI/2024/2193,Lekha Vyas,Primary Suspect
KAR/BEN/2024/1812,Manthan Randhawa,Primary Suspect
KAR/BEN/2024/1436,Balveer Basu,Co-conspirator
KAR/KAL/2024/1261,Nathan Chandran,Accomplice
KAR/VIJ/2024/1944,Pranit Kant,Accomplice
KAR/BEN/2024/0390,Siddharth Gandhi,Primary Suspect
KAR/VIJ/2024/0970,Qadim Kala,Co-conspirator
KAR/BEN/2024/0844,Dominic Murthy,Primary Suspect
KAR/BEN/2024/1977,Dakshesh Doctor,Accomplice
KAR/BEN/2024/0721,Vincent Gole,Co-conspirator
KAR/SHI/2024/0280,Manan Jani,Primary Suspect
KAR/BEN/2024/1324,Sai Zacharia,Primary Suspect
KAR/HUB/2024/0853,Arjun Garg,Accomplice
KAR/TUM/2024/2326,Ojasvi Rajagopal,Primary Suspect
KAR/CHI/2024/1262,Waida Parekh,Primary Suspect
KAR/BEN/2024/0553,Chaitanya Lall,Co-conspirator
KAR/BEN/2024/0716,Siddharth Varty,Accomplice
KAR/KOL/2024/0656,Zinal Mukherjee,Primary Suspect
KAR/BEN/2024/1677,Faras Shukla,Co-conspirator
KAR/BID/2024/0414,Faras Dugar,Accomplice
KAR/BEN/2024/0128,Vincent Rau,Co-conspirator
KAR/UDU/2024/0361,Faris Kuruvilla,Accomplice
KAR/BEN/2024/0743,Viraj Rai,Accomplice
KAR/VIJ/2024/2259,Hemang Saraf,Primary Suspect
KAR/HUB/2024/0062,Imaran Chad,Co-conspirator
KAR/BEN/2024/1994,Jack Dass,Accomplice
KAR/KOL/2024/1721,Nilima Mahal,Co-conspirator
KAR/MAN/2024/1472,Abdul Nair,Primary Suspect
KAR/BID/2024/1080,Hemang Dalal,Primary Suspect
KAR/BID/2024/0085,Falan Mutti,Primary Suspect
KAR/HUB/2024/2099,Harshil Chakraborty,Accomplice
KAR/KOL/2024/2060,Anthony Dash,Accomplice
KAR/BEN/2024/0454,Tristan Chad,Accomplice
KAR/BEN/2024/0326,Bachittar Chawla,Primary Suspect
KAR/BEN/2024/0259,Balendra Garde,Co-conspirator
KAR/CHI/2024/2223,Sudiksha Rastogi,Accomplice
KAR/DAV/2024/1251,Om Dugar,Primary Suspect
KAR/BEN/2024/1127,Vedika Thaker,Primary Suspect
KAR/BAL/2024/1946,Upkaar Saha,Co-conspirator
KAR/HAS/2024/1064,Chandresh Sekhon,Co-conspirator
KAR/BEN/2024/0800,Xalak Rajan,Co-conspirator
KAR/BEN/2024/0730,George Minhas,Accomplice
KAR/MAN/2024/0182,Chaman Sekhon,Primary Suspect
KAR/VIJ/2024/2419,Upkaar Viswanathan,Primary Suspect
KAR/MYS/2024/1394,Ekapad Behl,Primary Suspect
KAR/BEN/2024/0786,Mason Khare,Accomplice
KAR/KOL/2024/1709,Wahab Mitter,Co-conspirator
KAR/BEN/2024/2422,Sudiksha Rastogi,Primary Suspect
KAR/HUB/2024/0404,Tanmayi Sarin,Primary Suspect
KAR/BEN/2024/0099,Anirudh Yohannan,Co-conspirator
KAR/BAL/2024/0286,Bhavna Rai,Primary Suspect
KAR/HAS/2024/2285,Omkaar Tank,Accomplice
KAR/KOL/2024/0198,Maanas Lata,Accomplice
KAR/UDU/2024/1351,Gautami Tata,Co-conspirator
KAR/MAN/2024/1757,Hredhaan Bail,Accomplice
KAR/BEN/2024/2168,Chanakya Nanda,Primary Suspect
KAR/SHI/2024/1343,Nandini Vora,Co-conspirator
KAR/SHI/2024/0750,Azaan Dayal,Primary Suspect
KAR/MYS/2024/0485,Janya Thaker,Accomplice
KAR/MAN/2024/0147,Rachit Sethi,Accomplice
KAR/MAN/2024/1472,Ekta Khatri,Primary Suspect
KAR/BEN/2024/0614,Frado Nagi,Primary Suspect
KAR/BEN/2024/0353,Vidhi Dara,Primary Suspect
KAR/BEN/2024/2140,Shivansh Samra,Co-conspirator
KAR/BAL/2024/1271,Charan Ghose,Accomplice
KAR/BEN/2024/0553,Kabir Goda,Co-conspirator
KAR/BEL/2024/0616,Amol Balay,Primary Suspect
KAR/UDU/2024/2057,Madhav Datta,Primary Suspect
KAR/TUM/2024/0626,Nathaniel Kata,Primary Suspect
KAR/BEN/2024/2197,Ayushman Garg,Accomplice
KAR/KOP/2024/0456,Gabriel Rana,Accomplice
KAR/BEN/2024/1219,Mohammed Kade,Primary Suspect
KAR/DAV/2024/1052,Hiral Madan,Primary Suspect
KAR/BEL/2024/0057,Frederick Cheema,Co-conspirator
KAR/BEN/2024/0743,Samuel Chandran,Co-conspirator
KAR/KOP/2024/0154,Azad Shankar,Primary Suspect
KAR/BID/2024/0963,Siddharth Savant,Primary Suspect
KAR/MAN/2024/1554,Damyanti Swamy,Accomplice
KAR/BEN/2024/1164,Dakshesh D’Alia,Co-conspirator
KAR/BEN/2024/0165,Aarna Yogi,Accomplice
KAR/BEN/2024/2258,Max Naidu,Co-conspirator
KAR/HUB/2024/1357,Anamika Goswami,Accomplice
KAR/DAV/2024/0692,Amol Chauhan,Accomplice
KAR/VIJ/2024/2377,Ryan Chaudhry,Accomplice
KAR/CHI/2024/1099,Fariq Gaba,Primary Suspect
KAR/BEN/2024/0869,Darsh Memon,Accomplice
KAR/DAV/2024/1951,Vinaya Sankar,Co-conspirator
KAR/VIJ/2024/1690,Wyatt Parmar,Accomplice
KAR/BEN/2024/2251,Vedant Ravi,Co-conspirator
KAR/RAI/2024/2328,Aarush Arora,Accomplice
KAR/KOL/2024/0713,Chatresh Dugar,Co-conspirator
KAR/SHI/2024/1804,Advay Bhardwaj,Accomplice
KAR/BEN/2024/1720,Tarak Keer,Co-conspirator
KAR/BEN/2024/1486,Chatresh Andra,Accomplice
KAR/SHI/2024/2193,Riya Jhaveri,Accomplice
KAR/VIJ/2024/0967,Ekaraj Savant,Co-conspirator
KAR/HAS/2024/0349,Avi Karpe,Co-conspirator
KAR/KAL/2024/0131,Rohan Reddy,Primary Suspect
KAR/BEN/2024/1745,Aarnav Sant,Co-conspirator
KAR/RAI/2024/0245,Mugdha Som,Accomplice
KAR/BEN/2024/2401,Farhan Mital,Primary Suspect
KAR/BEN/2024/0102,Wriddhish Mittal,Primary Suspect
KAR/KOP/2024/1208,Nihal Palla,Accomplice
KAR/KOP/2024/1422,Chatura Merchant,Primary Suspect
KAR/BEN/2024/0909,Fitan Narayanan,Primary Suspect
KAR/BEL/2024/1809,Luke Bahri,Accomplice
KAR/DAV/2024/2187,Bishakha Bawa,Accomplice
KAR/BEN/2024/1455,Vivaan Mitra,Accomplice
KAR/KOP/2024/1616,Warjas Yohannan,Accomplice
KAR/KOP/2024/2100,Fiyaz Singh,Accomplice
KAR/BEN/2024/0697,Lohit Chaudry,Co-conspirator
KAR/BEN/2024/1337,Parth Thaman,Accomplice
KAR/BEN/2024/1453,Chaitanya Dayal,Primary Suspect
KAR/BAL/2024/0196,Peter Kari,Co-conspirator
KAR/BEN/2024/0643,Mitesh Salvi,Co-conspirator
KAR/CHI/2024/0497,Nitesh Setty,Primary Suspect
KAR/MAN/2024/2185,Tanish Bera,Accomplice
KAR/VIJ/2024/0720,Lucky Chana,Primary Suspect
KAR/BEN/2024/0969,Imaran Keer,Primary Suspect
KAR/HUB/2024/2230,Guneet Prabhakar,Accomplice
KAR/SHI/2024/0874,Guneet Bahri,Accomplice
KAR/BEN/2024/0759,Tristan Barad,Primary Suspect
KAR/BEN/2024/1734,Baghyawati Lanka,Co-conspirator
KAR/BEN/2024/0651,Ekapad Sood,Primary Suspect
KAR/BEN/2024/0224,Ayushman Rout,Primary Suspect
KAR/SHI/2024/0750,Ekansh Konda,Accomplice
KAR/BEN/2024/0398,Chatresh Dugar,Accomplice
KAR/BAL/2024/0171,Lucky Chana,Accomplice
KAR/KOP/2024/0712,Balendra Chaudhari,Accomplice
KAR/KOL/2024/1451,Jasmit Deshmukh,Accomplice
KAR/BEN/2024/0099,Kiaan Edwin,Co-conspirator
KAR/BID/2024/2126,Jeet Mohanty,Accomplice
KAR/SHI/2024/0815,Oscar Sangha,Accomplice
KAR/BEN/2024/1734,Faqid Sarin,Primary Suspect
KAR/MYS/2024/0922,Fitan Suri,Accomplice
KAR/RAI/2024/0729,Aadi Ahluwalia,Co-conspirator
KAR/BEN/2024/2219,Naksh Jani,Primary Suspect
KAR/BEN/2024/0029,Rehaan Chaudry,Primary Suspect
KAR/VIJ/2024/1320,Raghav Rajagopalan,Primary Suspect
KAR/DAV/2024/1067,Chaitaly Wable,Accomplice
KAR/MYS/2024/1333,Ayushman Dasgupta,Co-conspirator
KAR/BEN/2024/0709,Inaya Jaggi,Primary Suspect
KAR/KOL/2024/0550,Ishaan Prasad,Co-conspirator
KAR/BEN/2024/1238,Ekapad Behl,Accomplice
KAR/KAL/2024/2166,Balveer Raj,Co-conspirator
KAR/BEN/2024/0320,Guneet Bahri,Primary Suspect
KAR/KOP/2024/1299,Hritik Kaul,Primary Suspect
KAR/HAS/2024/0676,Pranav Devan,Accomplice
KAR/HUB/2024/2204,Warinder Kalita,Accomplice
KAR/CHI/2024/0135,Theodore Konda,Co-conspirator
KAR/KAL/2024/1258,Samar Dani,Primary Suspect
KAR/RAI/2024/0372,Zehaan Mody,Accomplice
KAR/VIJ/2024/1632,Ranbir Malhotra,Primary Suspect
KAR/BEN/2024/1677,Advaith Palla,Primary Suspect
KAR/BEN/2024/0145,Faris Walla,Co-conspirator
KAR/BEL/2024/0598,Yuvraj Chadha,Co-conspirator
KAR/MYS/2024/0453,Vasatika Brahmbhatt,Co-conspirator
KAR/BEN/2024/2489,Sathvik Sunder,Primary Suspect
KAR/HUB/2024/0406,Dakshesh D’Alia,Accomplice
KAR/BAL/2024/1289,Hredhaan Memon,Accomplice
KAR/CHI/2024/0061,Libni Edwin,Accomplice
