fir_case_number,accused_full_name,accused_role
KAR/BEN/2024/0810,Jagdish Nagar,Co-conspirator
KAR/BEN/2024/0758,Qushi Amble,Co-conspirator
KAR/MAN/2024/0189,Dominic Mani,Primary Suspect
KAR/BEN/2024/2119,Udant Badal,Accomplice
KAR/KAL/2024/1174,Jai Pradhan,Co-conspirator
KAR/RAI/2024/0226,Jason Vohra,Primary Suspect
KAR/BAL/2024/1788,Baljiwan Ray,Accomplice
KAR/HAS/2024/1976,Laksh Dugar,Co-conspirator
KAR/BEN/2024/2314,Rishi Contractor,Co-conspirator
KAR/BEN/2024/0839,Tanay Srivastava,Accomplice
KAR/DAV/2024/2373,Garima Shanker,Primary Suspect
KAR/BEN/2024/2303,Ekavir Dave,Primary Suspect
KAR/KOP/2024/0312,Tanay Jain,Primary Suspect
KAR/KOP/2024/0241,Bhavika Choudhury,Accomplice
KAR/BEN/2024/1072,Mugdha Sehgal,Primary Suspect
KAR/BEN/2024/0976,Chaitanya Dua,Accomplice
KAR/BEN/2024/0319,Indali Hora,Primary Suspect
KAR/KOP/2024/1205,Wahab Bahri,Co-conspirator
KAR/HUB/2024/0953,Samuel Saraf,Accomplice
KAR/TUM/2024/1586,Mitesh Sundaram,Primary Suspect
KAR/BID/2024/1448,Rachana Edwin,Accomplice
KAR/HUB/2024/0634,Wridesh Bhatnagar,Accomplice
KAR/MYS/2024/1042,Nihal Gala,Co-conspirator
KAR/BEN/2024/0931,Zansi Jaggi,Co-conspirator
KAR/BID/2024/1135,Aarna Raja,Primary Suspect
KAR/BEN/2024/1480,Jai Bala,Co-conspirator
KAR/UDU/2024/1496,Yagnesh Pall,Accomplice
KAR/BEN/2024/1836,Ranbir Sagar,Primary Suspect
KAR/BEN/2024/0856,Vedant Jha,Accomplice
KAR/DAV/2024/0366,Ikbal Deo,Accomplice
KAR/DAV/2024/2103,Vivaan Ram,Co-conspirator
KAR/RAI/2024/1964,Pooja Kuruvilla,Accomplice
KAR/KAL/2024/1357,Aayush Hayre,Co-conspirator
KAR/KAL/2024/0075,Yatan Tripathi,Accomplice
KAR/HUB/2024/1523,Chaitaly Bava,Co-conspirator
KAR/BEN/2024/0790,Ayaan Warrior,Co-conspirator
KAR/TUM/2024/1926,Alexander Misra,Co-conspirator
KAR/BAL/2024/1052,Timothy Mishra,Accomplice
KAR/KOL/2024/2394,Banjeet Jani,Accomplice
KAR/KAL/2024/1244,Fiyaz Swamy,Accomplice
KAR/BEN/2024/0054,Samuel Dora,Co-conspirator
KAR/BAL/2024/1366,Arin Sethi,Primary Suspect
KAR/BEN/2024/1118,Vritti Bal,Primary Suspect
KAR/TUM/2024/0186,Unni Rajagopalan,Primary Suspect
KAR/BEN/2024/0726,Jonathan Venkatesh,Accomplice
KAR/MAN/2024/1068,Akshay Suri,Accomplice
KAR/UDU/2024/1815,Mekhala Sridhar,Primary Suspect
KAR/HUB/2024/0345,Krisha Ratta,Primary Suspect
KAR/BEN/2024/0653,Ekapad Varma,Accomplice
KAR/KAL/2024/1368,Maanas Kar,Co-conspirator
KAR/TUM/2024/1141,Neelima Gola,Accomplice
KAR/MAN/2024/2078,Victor Balay,Primary Suspect
KAR/BEN/2024/0129,Abhimanyu Nagy,Accomplice
KAR/BEN/2024/1213,Rushil Sarin,Primary Suspect
KAR/BEN/2024/1784,Hitesh Narasimhan,Co-conspirator
KAR/BEN/2024/1621,Sarthak Natt,Co-conspirator
KAR/BAL/2024/1234,Bahadurjit Rao,Accomplice
KAR/TUM/2024/2453,Banjeet Shukla,Primary Suspect
KAR/MAN/2024/1943,Tanay Srivastava,Accomplice
KAR/BEN/2024/0857,Mitesh Hayer,Accomplice
KAR/KOL/2024/1553,Ojasvi Shetty,Accomplice
KAR/TUM/2024/1926,Dalaja Gala,Primary Suspect
KAR/TUM/2024/0774,Samaksh Bhasin,Co-conspirator
KAR/BAL/2024/1788,Jeet Sunder,Accomplice
KAR/DAV/2024/0717,Darpan Bhattacharyya,Primary Suspect
KAR/SHI/2024/0430,Guneet Krishnan,Accomplice
KAR/UDU/2024/0231,Omkaar D’Alia,Primary Suspect
KAR/RAI/2024/0489,Dominic Mitter,Co-conspirator
KAR/DAV/2024/2020,Jonathan Kamdar,Primary Suspect
KAR/KOL/2024/1303,Anay Sachdev,Primary Suspect
KAR/BEN/2024/2089,Andrew Chhabra,Accomplice
KAR/KAL/2024/2025,Arin Thakur,Primary Suspect
KAR/DAV/2024/0882,Avi Parekh,Primary Suspect
KAR/VIJ/2024/1462,Manthan Mallick,Primary Suspect
KAR/DAV/2024/1004,Ayushman Chadha,Co-conspirator
KAR/BEL/2024/1672,Frederick Ramakrishnan,Co-conspirator
KAR/HUB/2024/0895,Samesh Keer,Accomplice
KAR/BID/2024/2256,Yasti Saxena,Primary Suspect
KAR/BEL/2024/0745,Arin Lata,Accomplice
KAR/BEN/2024/0409,Tanveer Gupta,Accomplice
KAR/BID/2024/2290,Banjeet Sule,Primary Suspect
KAR/BEN/2024/0785,Victor Goel,Co-conspirator
KAR/HUB/2024/0063,Simon Vaidya,Primary Suspect
KAR/BEN/2024/2448,Avi Batta,Accomplice
KAR/HUB/2024/0953,Jason Mallick,Accomplice
KAR/BID/2024/1395,Elijah Jha,Primary Suspect
KAR/BEN/2024/0758,Rudra Mahajan,Co-conspirator
KAR/UDU/2024/0458,Rachit Saraf,Accomplice
KAR/BEN/2024/0491,Kalpit Shukla,Primary Suspect
KAR/RAI/2024/2268,Aryan Sethi,Accomplice
KAR/BEN/2024/0976,Warjas Varma,Accomplice
KAR/BEL/2024/1024,Manbir Sankar,Co-conspirator
KAR/BEN/2024/0148,Nihal Rao,Primary Suspect
KAR/BEN/2024/1424,Tanmayi Saraf,Accomplice
KAR/KOP/2024/0010,Aradhana Murthy,Co-conspirator
KAR/KAL/2024/1344,Aarush Kala,Accomplice
KAR/BEN/2024/1981,Suhani Suresh,Primary Suspect
KAR/BEN/2024/1784,Azad Sehgal,Co-conspirator
KAR/UDU/2024/1828,Chakradev Shanker,Primary Suspect
KAR/BEN/2024/0124,Gabriel Vaidya,Primary Suspect
KAR/BEN/2024/1852,Tejas Muni,Primary Suspect
KAR/BEN/2024/2258,Amruta Gade,Primary Suspect
KAR/BEN/2024/1616,Ekantika Mammen,Accomplice
KAR/TUM/2024/1493,Hredhaan Bobal,Accomplice
KAR/HUB/2024/0262,Tejas Oak,Primary Suspect
KAR/TUM/2024/2187,Raghav Pau,Accomplice
KAR/BEN/2024/1550,Mitesh Sundaram,Accomplice
KAR/UDU/2024/1815,Eta Goswami,Accomplice
KAR/MAN/2024/0288,Arin Thakur,Co-conspirator
KAR/TUM/2024/1666,Maanav Bajwa,Accomplice
KAR/BEN/2024/0944,Onveer Aggarwal,Co-conspirator
KAR/KAL/2024/0599,Samaksh Bhalla,Co-conspirator
KAR/BEN/2024/1391,Anthony Gupta,Co-conspirator
KAR/BEN/2024/2169,Vinaya Balasubramanian,Accomplice
KAR/KOP/2024/1912,David Bains,Primary Suspect
KAR/SHI/2024/1579,Sai Koshy,Primary Suspect
KAR/VIJ/2024/1260,Samaksh Bail,Co-conspirator
KAR/BEN/2024/0147,Baljiwan Chatterjee,Primary Suspect
KAR/CHI/2024/0602,Manan Goswami,Co-conspirator
KAR/BEN/2024/1255,Azaan Dugar,Primary Suspect
KAR/BEN/2024/0457,Hredhaan Sangha,Accomplice
KAR/BEN/2024/2174,Lohit Bora,Co-conspirator
KAR/KOP/2024/1812,Eshana Bhagat,Primary Suspect
KAR/SHI/2024/2471,Shaurya Divan,Primary Suspect
KAR/BEN/2024/0467,Champak Iyer,Co-conspirator
KAR/KOL/2024/0107,Gayathri Sura,Co-conspirator
KAR/BEN/2024/2042,Tejas Oak,Co-conspirator
KAR/HUB/2024/0802,Kiaan Chaudhry,Primary Suspect
KAR/SHI/2024/0751,Pranit Dass,Co-conspirator
KAR/MYS/2024/2363,Advik More,Primary Suspect
KAR/BEN/2024/0686,Arin Lata,Primary Suspect
KAR/RAI/2024/0475,Idika Gandhi,Co-conspirator
KAR/BEN/2024/2175,Urmi Gaba,Co-conspirator
KAR/BAL/2024/1234,Jackson Bal,Co-conspirator
KAR/BEN/2024/0833,Timothy Barman,Primary Suspect
KAR/BEN/2024/1634,Udarsh Bawa,Primary Suspect
KAR/BEN/2024/0561,Umang Jani,Co-conspirator
KAR/KOP/2024/1762,Aadhya Raman,Primary Suspect
KAR/BEN/2024/1737,Tanvi Soni,Co-conspirator
KAR/BEN/2024/2108,Laksh Dugar,Accomplice
KAR/BEL/2024/2344,Aarush Acharya,Primary Suspect
KAR/KOP/2024/0251,Krishna Chahal,Co-conspirator
KAR/MAN/2024/2202,Dakshesh Das,Accomplice
KAR/VIJ/2024/1752,Advaith Chadha,Primary Suspect
KAR/HUB/2024/0178,Yug Sehgal,Co-conspirator
KAR/MAN/2024/2155,Nakul Chakrabarti,Primary Suspect
KAR/BEN/2024/0027,Alexander Malhotra,Co-conspirator
KAR/BEN/2024/0744,Yug Mahajan,Primary Suspect
KAR/HAS/2024/0436,Ojas Taneja,Primary Suspect
KAR/BEN/2024/0856,Jeremiah Shere,Accomplice
KAR/KAL/2024/0655,Gagan Subramaniam,Co-conspirator
KAR/CHI/2024/1438,Kevin Korpal,Primary Suspect
KAR/BAL/2024/1403,Nidra Wagle,Co-conspirator
KAR/MAN/2024/1151,Amara Bhandari,Accomplice
KAR/DAV/2024/2391,Chaitanya Sarkar,Accomplice
KAR/BID/2024/1203,Jasmit Chada,Co-conspirator
KAR/VIJ/2024/0540,Nathan Bala,Primary Suspect
KAR/BEN/2024/0640,Noah Gandhi,Accomplice
KAR/MAN/2024/2023,Tarak Sha,Co-conspirator
KAR/BEN/2024/1629,Arin Wason,Accomplice
KAR/BEN/2024/2428,Panini Salvi,Accomplice
KAR/RAI/2024/0361,Tarak Das,Accomplice
KAR/HAS/2024/1711,Vritti Mahal,Primary Suspect
KAR/KOP/2024/1919,Anirudh Badami,Co-conspirator
KAR/RAI/2024/1517,Xalak Tiwari,Primary Suspect
KAR/HUB/2024/0533,Amol Cheema,Accomplice
KAR/BEN/2024/1373,Indrajit Buch,Accomplice
KAR/TUM/2024/1984,Caleb Bhattacharyya,Co-conspirator
KAR/BEN/2024/1062,Ryan Varkey,Co-conspirator
KAR/MAN/2024/0397,Neha Bains,Accomplice
KAR/BEN/2024/1237,Benjamin Varkey,Primary Suspect
KAR/BEN/2024/2096,Nicholas Minhas,Primary Suspect
KAR/BEN/2024/0322,Qasim Bera,Accomplice
KAR/BID/2024/0956,Hitesh Sangha,Co-conspirator
KAR/SHI/2024/1224,Kalpit Bhatia,Primary Suspect
KAR/HAS/2024/0761,Pranit Kata,Primary Suspect
KAR/BEN/2024/0840,Rudra Chatterjee,Accomplice
KAR/BEN/2024/2177,Logan Sha,Co-conspirator
KAR/BEN/2024/1781,Zayyan Kade,Accomplice
KAR/CHI/2024/0864,Lakshit Kala,Primary Suspect
KAR/KOP/2024/0981,Balvan Prasad,Accomplice
KAR/KOP/2024/2217,Nirja Master,Primary Suspect
KAR/MYS/2024/2106,Matthew Sha,Accomplice
KAR/HUB/2024/0336,Arjun Choudhary,Accomplice
KAR/HUB/2024/1593,Wriddhish Bora,Primary Suspect
KAR/BEN/2024/0152,Henry Gade,Accomplice
KAR/HAS/2024/0761,Rayaan Soni,Primary Suspect
KAR/BEN/2024/2192,Saksham Nath,Accomplice
KAR/BEN/2024/0095,Amara Hari,Co-conspirator
KAR/VIJ/2024/2434,Megha Roy,Primary Suspect
KAR/BEN/2024/2386,Falan Dugar,Accomplice
KAR/BEN/2024/2253,Tanveer Prasad,Co-conspirator
KAR/BEN/2024/1382,Indrajit Banik,Accomplice
KAR/BEN/2024/0038,Matthew Brar,Primary Suspect
KAR/BEN/2024/1898,Hemang Bhatia,Accomplice
KAR/BEN/2024/2350,Wridesh Dhar,Co-conspirator
KAR/MYS/2024/1570,Onkar Doshi,Accomplice
KAR/BEN/2024/0512,Indira Kothari,Co-conspirator
KAR/BEN/2024/2498,Bakhshi Kurian,Co-conspirator
KAR/BEN/2024/0173,Unnati Gour,Primary Suspect
KAR/BID/2024/0897,Harshil Chaudhary,Accomplice
KAR/BEN/2024/2247,Anirudh Menon,Co-conspirator
KAR/SHI/2024/0234,Lohit Rajagopalan,Co-conspirator
KAR/BAL/2024/2370,Upadhriti Karpe,Primary Suspect
KAR/BEN/2024/2214,Ekapad Goel,Co-conspirator
KAR/BEN/2024/1656,Sanya Bedi,Co-conspirator
KAR/BEN/2024/0936,Radha Sane,Accomplice
KAR/BEN/2024/1108,Amaira Tandon,Co-conspirator
KAR/HUB/2024/1791,Brijesh Chander,Accomplice
KAR/BEN/2024/0944,Victor Kibe,Co-conspirator
KAR/BEN/2024/0415,Irya Randhawa,Co-conspirator
KAR/MYS/2024/0139,Noah Yadav,Primary Suspect
KAR/BEN/2024/2499,Chakradev Basak,Accomplice
KAR/BEL/2024/0098,Vedhika Pau,Co-conspirator
KAR/UDU/2024/0738,Ayushman Sahni,Accomplice
KAR/MAN/2024/0890,Rushil Natarajan,Primary Suspect
KAR/RAI/2024/0475,Ishanvi Jhaveri,Co-conspirator
KAR/KOP/2024/0034,Warinder Dhillon,Accomplice
KAR/MAN/2024/0978,Amol Thakkar,Co-conspirator
KAR/KAL/2024/0847,Hitesh Nair,Co-conspirator
KAR/KAL/2024/0847,Nakul Tara,Primary Suspect
KAR/HAS/2024/1802,Dakshesh Nigam,Co-conspirator
KAR/UDU/2024/1100,Eesha Mangat,Primary Suspect
KAR/BEN/2024/2200,Yoshita Natt,Primary Suspect
KAR/BEN/2024/0753,Lavanya Mann,Accomplice
KAR/KAL/2024/0310,Akshay Bhavsar,Primary Suspect
KAR/MAN/2024/1228,William Bhavsar,Primary Suspect
KAR/CHI/2024/0838,Zilmil Sathe,Co-conspirator
KAR/MAN/2024/2469,Arin Sethi,Primary Suspect
KAR/HAS/2024/2407,Tarak Jha,Co-conspirator
KAR/SHI/2024/0767,Utkarsh Nori,Accomplice
KAR/BEN/2024/1923,Urvi Basu,Accomplice
KAR/BEN/2024/2319,Chatura Chawla,Accomplice
KAR/BEN/2024/1299,Liam Bakshi,Accomplice
KAR/BEN/2024/1642,Rishi More,Primary Suspect
KAR/BEN/2024/1208,Yashica De,Accomplice
KAR/CHI/2024/0693,Jeet Nanda,Primary Suspect
KAR/BID/2024/1654,Lajita Pandya,Accomplice
KAR/VIJ/2024/0673,Ikbal Kumer,Co-conspirator
KAR/BEN/2024/2367,Yuvraj Bawa,Accomplice
KAR/BEL/2024/2358,Amaira Shah,Primary Suspect
KAR/BEN/2024/1621,Radhika Bhatt,Co-conspirator
KAR/UDU/2024/0206,Jonathan Kashyap,Primary Suspect
KAR/BEN/2024/0144,Dakshesh Nigam,Co-conspirator
KAR/BEN/2024/1607,Sachi Goyal,Co-conspirator
KAR/KOP/2024/1585,Gavin Gera,Primary Suspect
KAR/HAS/2024/0225,Utkarsh Deshpande,Co-conspirator
KAR/MYS/2024/1821,Omkaar Bhatnagar,Accomplice
KAR/DAV/2024/0227,Timothy Sampath,Primary Suspect
KAR/MAN/2024/1767,Joshua Singhal,Accomplice
KAR/BEN/2024/0072,Yuvraj Kunda,Accomplice
KAR/KAL/2024/0901,Hemal Kalla,Co-conspirator
KAR/BEN/2024/1740,Hredhaan Ahluwalia,Co-conspirator
KAR/KOP/2024/1215,Caleb Bhattacharyya,Accomplice
KAR/BEN/2024/1489,Ekapad Khurana,Accomplice
KAR/BID/2024/1080,Parth Mammen,Primary Suspect
KAR/DAV/2024/2109,Om Bhalla,Co-conspirator
KAR/MYS/2024/1396,Harsh Patil,Co-conspirator
KAR/MAN/2024/0786,Brijesh Sathe,Co-conspirator
KAR/KOL/2024/0198,Peter Pall,Co-conspirator
KAR/BEN/2024/0856,Henry Pau,Co-conspirator
KAR/DAV/2024/1302,Indira Ratti,Co-conspirator
KAR/SHI/2024/0544,Neel Sarkar,Primary Suspect
KAR/BEL/2024/2242,Dakshesh Das,Primary Suspect
KAR/BEN/2024/0868,Kabir Sem,Primary Suspect
KAR/RAI/2024/1838,Pranit Lad,Co-conspirator
KAR/BEN/2024/0525,Zehaan Srivastava,Co-conspirator
KAR/BEN/2024/0173,Falan De,Primary Suspect
KAR/CHI/2024/2065,Maanas Sengupta,Co-conspirator
KAR/BEN/2024/1834,Unni Balay,Primary Suspect
KAR/MAN/2024/1088,Idika Tandon,Accomplice
KAR/SHI/2024/1965,Nilima Narang,Co-conspirator
KAR/HAS/2024/1974,Daksh Dhawan,Primary Suspect
KAR/RAI/2024/0489,Yash Narayan,Co-conspirator
KAR/BEN/2024/1921,Zaid Mammen,Primary Suspect
KAR/VIJ/2024/2185,Banjeet Kapadia,Co-conspirator
KAR/BEN/2024/2413,Onveer Venkatesh,Co-conspirator
KAR/BEN/2024/0277,Anirudh Kuruvilla,Co-conspirator
KAR/BEN/2024/2321,Gayathri Sura,Co-conspirator
KAR/HAS/2024/2107,Priya Kurian,Primary Suspect
KAR/BEN/2024/0301,Onkar Palla,Co-conspirator
KAR/MYS/2024/2438,Christopher Brahmbhatt,Accomplice
KAR/BAL/2024/0633,Prisha Pandey,Co-conspirator
KAR/BEN/2024/2270,Bina Gola,Primary Suspect
KAR/BEN/2024/2292,Amruta Gade,Co-conspirator
KAR/BAL/2024/0573,Mitesh Oak,Co-conspirator
KAR/UDU/2024/0825,Lohit Behl,Primary Suspect
KAR/CHI/2024/1528,Jackson Krishna,Primary Suspect
KAR/KOL/2024/0638,Ekaraj Koshy,Accomplice
KAR/BEN/2024/0947,Vaishnavi Chanda,Accomplice
KAR/BID/2024/1342,Vansha Sem,Primary Suspect
KAR/TUM/2024/0986,Jasmit Chada,Accomplice
KAR/BEL/2024/1808,Owen Nori,Primary Suspect
KAR/BEN/2024/2367,Kabir Sampath,Accomplice
KAR/KOP/2024/0325,Tanveer Prasad,Co-conspirator
KAR/BEL/2024/0866,Nihal Bose,Primary Suspect
KAR/DAV/2024/0044,Noah Merchant,Co-conspirator
KAR/HUB/2024/1258,Manan Pradhan,Accomplice
KAR/TUM/2024/1141,Manan Rau,Co-conspirator
KAR/BEN/2024/0763,Frederick Bhatt,Primary Suspect
KAR/MAN/2024/0298,Tamanna Anne,Co-conspirator
KAR/BEN/2024/1470,Theodore Chowdhury,Co-conspirator
KAR/BEL/2024/1731,Wridesh Dube,Primary Suspect
KAR/MAN/2024/0123,Charan Varma,Primary Suspect
KAR/CHI/2024/1750,Vamakshi Sengupta,Accomplice
KAR/BEN/2024/1086,Inaya Khalsa,Primary Suspect
KAR/BEN/2024/0705,Ikshita Bhasin,Accomplice
KAR/BEN/2024/1041,Azad Dani,Accomplice
KAR/MAN/2024/1074,Lakshmi Uppal,Primary Suspect
KAR/BEN/2024/0514,Yashica Mallick,Accomplice
KAR/BEN/2024/1936,Patrick Bora,Co-conspirator
KAR/HUB/2024/0262,Panini Baria,Co-conspirator
KAR/HAS/2024/2388,Aadhya Kala,Accomplice
KAR/DAV/2024/1617,Ijaya Bail,Co-conspirator
KAR/KOL/2024/1624,Ansh Agarwal,Co-conspirator
KAR/VIJ/2024/0199,Atharv Luthra,Primary Suspect
KAR/BAL/2024/0012,Samaksh Bhalla,Primary Suspect
KAR/DAV/2024/2103,Chavvi Doctor,Primary Suspect
KAR/BEN/2024/2301,Kashish Sawhney,Primary Suspect
KAR/KOP/2024/1215,Veer Basu,Accomplice
KAR/BEN/2024/1002,Jacob Virk,Accomplice
KAR/BAL/2024/1805,Onveer Solanki,Primary Suspect
KAR/BEN/2024/2258,Ekbal Sawhney,Accomplice
KAR/BEN/2024/0359,Bina Naik,Co-conspirator
KAR/BID/2024/1654,Tanish Bava,Co-conspirator
KAR/BEN/2024/1556,Om Tak,Accomplice
KAR/UDU/2024/1130,Ekantika Mammen,Accomplice
KAR/CHI/2024/1528,Lohit Dasgupta,Co-conspirator
KAR/VIJ/2024/1778,Gaurav Issac,Co-conspirator
KAR/BEN/2024/1200,Noah Pal,Co-conspirator
KAR/DAV/2024/0354,Hardik Chandran,Accomplice
KAR/MAN/2024/1775,Samuel Dass,Co-conspirator
KAR/KOL/2024/1798,Dhruv Barad,Accomplice
KAR/BEN/2024/2144,Azaan Bir,Primary Suspect
KAR/BEN/2024/0707,Priya Kurian,Primary Suspect
KAR/BEN/2024/0086,Nakul Khalsa,Co-conspirator
KAR/BEN/2024/1601,Upadhriti Karpe,Accomplice
KAR/HUB/2024/2137,Reyansh Sundaram,Co-conspirator
KAR/BEN/2024/2365,Viraj Kulkarni,Accomplice
KAR/KOL/2024/0808,Triya Ahuja,Accomplice
KAR/HUB/2024/0178,Abdul Deshmukh,Primary Suspect
KAR/MAN/2024/1099,Hredhaan Ahluwalia,Primary Suspect
KAR/BEN/2024/1956,Upma Lal,Primary Suspect
KAR/KOP/2024/1205,Anamika Merchant,Co-conspirator
KAR/BEN/2024/0511,Girik Rajan,Co-conspirator
KAR/HUB/2024/0063,Zayan Magar,Co-conspirator
KAR/HAS/2024/1711,Avi Batta,Primary Suspect
KAR/BEN/2024/0359,Qasim Rege,Co-conspirator
KAR/BEN/2024/1315,Indrajit Buch,Primary Suspect
KAR/KOL/2024/1038,Ekapad Nanda,Primary Suspect
KAR/VIJ/2024/1156,Liam Dhaliwal,Co-conspirator
KAR/KOL/2024/0179,Maanas Dar,Co-conspirator
KAR/HUB/2024/1165,Yuvraj Bhagat,Primary Suspect
KAR/BEL/2024/0870,Xavier Sarna,Co-conspirator
KAR/RAI/2024/2029,Falan Bhasin,Primary Suspect
KAR/BEN/2024/2198,Jackson Tella,Primary Suspect
KAR/BEL/2024/1759,Noah Merchant,Co-conspirator
KAR/BEN/2024/1281,Balendra Bhardwaj,Primary Suspect
KAR/MAN/2024/1742,Kamya Ram,Accomplice
KAR/BEL/2024/0121,Vansha Iyer,Co-conspirator
KAR/KAL/2024/1807,Oliver Iyer,Primary Suspect
KAR/BAL/2024/0765,Siddharth Natarajan,Primary Suspect
KAR/BEN/2024/0472,Wahab Ahuja,Accomplice
KAR/BID/2024/1285,Keya Tata,Accomplice
