full_name,alias,age,gender,address,district_name,occupation,prior_convictions,modus_operandi,risk_score
Chakradhar Sankaran,,38,Male,"19/036, Dugal Marg",Tumakuru,Delivery Boy,1,Opportunistic crime,20
Nachiket Khosla,,22,Male,"H.No. 45, Sachar Circle",Belagavi,Vendor,0,Opportunistic crime,28
Bhavini Dhingra,Elijah,31,Male,"H.No. 92, Nath Circle",Hubballi-Dharwad,Driver,0,Opportunistic crime,20
Gaurang Balan,,44,Male,"77, Banerjee Marg",Davangere,Vendor,0,Opportunistic crime,38
Forum Khanna,Chandran,48,Male,"244, Master Path",Udupi,Vendor,0,Opportunistic crime,48
Rushil Ahuja,,38,Male,"05, Kashyap Marg",Mandya,Laborer,0,Opportunistic crime,11
Ranbir Tata,,49,Male,"366, Deshpande Street",Raichur,Contractor,1,Opportunistic crime,12
Samuel Chander,,45,Male,"24/547, Gole Zila",Vijayapura,Driver,0,Opportunistic crime,1
Eiravati Aurora,,34,Male,"77/099, Suri Chowk",Mysuru,Driver,0,Opportunistic crime,5
Nicholas Cherian,,40,Male,"H.No. 448, Cheema Zila",Bengaluru Urban,Vendor,1,Opportunistic crime,46
Ekavir Dugal,,44,Male,"13/27, Agrawal Chowk",Davangere,Driver,0,Opportunistic crime,6
Timothy Khosla,,52,Male,"01/257, Gala Path",Kalaburagi,Driver,0,Opportunistic crime,38
Ekbal Sahni,,30,Male,"55, Mukhopadhyay Ganj",Bengaluru Rural,Contractor,0,Opportunistic crime,40
Anthony Ravel,Ishanvi,34,Female,"712, Varughese Path",Kolar,Delivery Boy,0,Opportunistic crime,21
Aayush Guha,Victor,46,Male,"06/637, Sastry Chowk",Ballari,Delivery Boy,0,Opportunistic crime,47
Rajata Chopra,,38,Male,"H.No. 493, Tandon Path",Bengaluru Urban,Delivery Boy,1,Opportunistic crime,37
Balhaar Dube,,23,Male,"168, Bajaj Nagar",Mysuru,Contractor,1,Opportunistic crime,33
Parth Jani,Devansh,54,Male,"23/068, Date Street",Belagavi,Laborer,2,Opportunistic crime,31
Yash Samra,,39,Male,"H.No. 92, Mital Nagar",Shivamogga,Driver,1,Opportunistic crime,1
Caleb Dave,,19,Male,"50, Devan Marg",Koppal,Laborer,0,Opportunistic crime,34
Abhiram Minhas,,47,Male,"H.No. 379, Rastogi Zila",Vijayapura,Mechanic,1,Opportunistic crime,34
Peter Sabharwal,,50,Male,"93, Rajagopal",Hubballi-Dharwad,Unemployed,0,Opportunistic crime,19
William Srinivas,Raagini,27,Female,"H.No. 26, Koshy Street",Kalaburagi,Vendor,0,Opportunistic crime,6
Yatin Lalla,,22,Male,"H.No. 426, Chopra Ganj",Bengaluru Urban,Vendor,1,Opportunistic crime,2
Timothy Chada,,40,Male,"13/42, Babu Marg",Chikkamagaluru,Laborer,0,Opportunistic crime,7
Ayush Rajan,Damyanti,47,Male,"36/24, Ben Circle",Mangaluru (Dakshina Kannada),Unemployed,0,Opportunistic crime,47
Chanakya Badami,Owen,23,Male,"H.No. 91, Chad Nagar",Hubballi-Dharwad,Vendor,0,Opportunistic crime,29
Varenya Talwar,,38,Male,"H.No. 78, More Marg",Bidar,Laborer,0,Opportunistic crime,4
Chaitanya Sekhon,,55,Female,"37/131, Sathe Circle",Udupi,Vendor,0,Opportunistic crime,3
Zinal Wason,,43,Female,"85/593, Brar Chowk",Raichur,Contractor,0,Opportunistic crime,0
Agastya Kashyap,Suhani,51,Male,"762, Venkatesh Chowk",Mysuru,Unemployed,2,Opportunistic crime,14
Damini Deep,,55,Male,"H.No. 16, Banerjee Circle",Mangaluru (Dakshina Kannada),Contractor,0,Opportunistic crime,50
Lohit Nanda,Azad,22,Male,"745, De Street",Ballari,Contractor,0,Opportunistic crime,41
Isaac Pillai,Leena,47,Female,"19/01, Mishra",Mandya,Delivery Boy,0,Opportunistic crime,37
Kalpit Luthra,Amaira,41,Male,"18/72, Sawhney Path",Udupi,Unemployed,0,Opportunistic crime,32
Jai Radhakrishnan,Adya,36,Female,"67/16, Khare Path",Mangaluru (Dakshina Kannada),Mechanic,0,Opportunistic crime,20
Rajeshri Dugar,,29,Male,"H.No. 658, Nadkarni Chowk",Bengaluru Urban,Contractor,2,Opportunistic crime,14
Gopal Palan,Meghana,27,Male,"18, Ranganathan Road",Davangere,Contractor,0,Opportunistic crime,45
Anya Kapoor,Aachal,53,Male,"197, Vasa Circle",Mandya,Driver,0,Opportunistic crime,36
Zayan Sha,Harsh,34,Male,"97, Bhat Chowk",Kalaburagi,Driver,0,Opportunistic crime,6
Ekansh Dada,,41,Female,"H.No. 44, Lalla Nagar",Bengaluru Urban,Vendor,0,Opportunistic crime,19
Abhimanyu Tandon,Robert,43,Female,"H.No. 15, Wadhwa Ganj",Tumakuru,Driver,1,Opportunistic crime,47
Christopher Kade,,27,Male,"H.No. 468, Sathe Road",Mysuru,Vendor,0,Opportunistic crime,45
Wahab Subramaniam,Damyanti,36,Male,"89, Ray Ganj",Hubballi-Dharwad,Unemployed,1,Opportunistic crime,22
Hema Varughese,,18,Male,"H.No. 765, Bahri Zila",Udupi,Laborer,0,Opportunistic crime,39
Harrison Misra,,41,Male,"51/876, Mitter Nagar",Ballari,Delivery Boy,0,Opportunistic crime,17
Nandini Vora,Fiyaz,38,Female,"H.No. 83, Comar Road",Bidar,Laborer,1,Opportunistic crime,44
Frederick Tata,,21,Male,"204, Bali Road",Udupi,Delivery Boy,0,Opportunistic crime,41
Rajata Hari,Nidhi,28,Male,"44/33, Arya Street",Koppal,Driver,2,Opportunistic crime,3
Nirja Chahal,,36,Female,"73/22, Ramachandran",Mandya,Driver,0,Opportunistic crime,42
Arya Varkey,,19,Male,"H.No. 616, Virk Ganj",Chikkamagaluru,Unemployed,0,Opportunistic crime,24
Gaurav Comar,,45,Male,"48, Khosla Marg",Shivamogga,Driver,0,Opportunistic crime,26
Christopher Dave,,40,Male,"524, Zachariah Circle",Bengaluru Rural,Vendor,0,Opportunistic crime,5
Agastya Lala,Dakshesh,50,Male,"H.No. 534, Bhakta Street",Shivamogga,Driver,0,Opportunistic crime,38
Maanav Zacharia,,47,Male,"52, Khosla Zila",Belagavi,Delivery Boy,0,Opportunistic crime,48
Indrajit Roy,Nilima,54,Male,"27, Mall Street",Mandya,Delivery Boy,0,Opportunistic crime,15
Umang Karpe,,45,Male,"85, Sodhi Marg",Ballari,Laborer,1,Opportunistic crime,31
Vamakshi Kala,,48,Female,"58/345, Joshi Road",Bengaluru Rural,Contractor,1,Opportunistic crime,28
Prisha Pau,,44,Male,"H.No. 84, Lata Street",Tumakuru,Mechanic,1,Opportunistic crime,32
Yatan Pillay,,20,Male,"17, Dhar Circle",Kolar,Unemployed,0,Opportunistic crime,22
Ranveer Bir,,37,Male,"57/503, Goda Zila",Shivamogga,Laborer,0,Opportunistic crime,22
Upadhriti Ramaswamy,,52,Male,"H.No. 85, Boase Marg",Koppal,Delivery Boy,0,Opportunistic crime,29
Tanveer Basu,Banjeet,30,Male,"00/33, Kulkarni Circle",Raichur,Unemployed,0,Opportunistic crime,45
Faras Singh,Vincent,20,Male,"H.No. 18, Nigam Street",Raichur,Laborer,0,Opportunistic crime,22
Ayaan Om,Zinal,47,Male,"66, Chokshi Marg",Mysuru,Delivery Boy,0,Opportunistic crime,29
Manthan Narula,,35,Male,"H.No. 699, Narula Ganj",Koppal,Vendor,0,Opportunistic crime,8
Aarav Jaggi,,34,Male,"H.No. 81, Joshi Circle",Chikkamagaluru,Driver,0,Opportunistic crime,49
Yashawini Chaudhary,,50,Male,"66/244, Peri Marg",Mandya,Laborer,1,Opportunistic crime,32
Harshil Bhavsar,Suhani,20,Female,"59/884, Dyal Chowk",Belagavi,Driver,0,Opportunistic crime,40
Chakradev Banik,,55,Male,"74/001, Munshi Circle",Hubballi-Dharwad,Driver,0,Opportunistic crime,16
Karan Banik,Omya,43,Male,"52, Yadav Nagar",Bengaluru Urban,Driver,0,Opportunistic crime,38
Zayyan Yohannan,,31,Male,"H.No. 488, Divan Zila",Chikkamagaluru,Driver,0,Opportunistic crime,23
Ishaan Mahajan,,33,Male,"H.No. 47, Karpe Street",Bidar,Unemployed,1,Opportunistic crime,25
Ishaan Rau,,35,Male,"28, Ramesh",Ballari,Vendor,1,Opportunistic crime,10
Akshay Thaman,Bhavya,51,Male,"H.No. 20, Batta Path",Mandya,Contractor,0,Opportunistic crime,22
Benjamin Vora,Tanish,51,Female,"42, Babu Road",Kalaburagi,Mechanic,0,Opportunistic crime,26
Pranit Rau,,47,Female,"38/457, Tandon Road",Vijayapura,Vendor,0,Opportunistic crime,29
Varsha Shukla,,43,Male,"031, Mukherjee Ganj",Tumakuru,Mechanic,1,Opportunistic crime,47
Wyatt Mutti,Yatan,44,Male,"H.No. 60, Sundaram Street",Mysuru,Contractor,1,Opportunistic crime,19
Brijesh Sahni,,33,Male,"66, Vasa Chowk",Mysuru,Mechanic,0,Opportunistic crime,20
Henry Deshmukh,,29,Male,"64/882, Rama Ganj",Kolar,Contractor,0,Opportunistic crime,15
Samarth Saxena,,33,Female,"21, Kothari Circle",Davangere,Unemployed,0,Opportunistic crime,21
Harita Keer,Chandresh,48,Male,"H.No. 757, Barad",Mysuru,Vendor,2,Opportunistic crime,14
Frado Maharaj,Raghav,38,Female,"65, Chatterjee Marg",Shivamogga,Driver,0,Opportunistic crime,18
Darsh Mukhopadhyay,,54,Male,"H.No. 013, Chowdhury Ganj",Bengaluru Rural,Contractor,0,Opportunistic crime,14
Chanakya Mallick,,18,Male,"29/632, Chander Path",Belagavi,Contractor,0,Opportunistic crime,30
Logan Pau,Jagat,36,Male,"678, Raju Path",Hubballi-Dharwad,Unemployed,1,Opportunistic crime,0
Vamakshi Ben,,40,Male,"461, Chauhan Zila",Mangaluru (Dakshina Kannada),Driver,0,Opportunistic crime,44
Pranit Chanda,Darika,23,Male,"H.No. 55, Issac Zila",Udupi,Contractor,0,Opportunistic crime,32
Darsh More,Warjas,30,Male,"H.No. 29, Patel Road",Hassan,Vendor,0,Opportunistic crime,26
Wazir Rai,,36,Male,"H.No. 078, Korpal Marg",Shivamogga,Unemployed,0,Opportunistic crime,35
Samaksh Sastry,,36,Male,"H.No. 660, Parmer Street",Kalaburagi,Unemployed,0,Opportunistic crime,0
Raghav Chokshi,Chaitaly,43,Male,"H.No. 23, Doctor Road",Shivamogga,Vendor,1,Opportunistic crime,4
Neel Nadig,,41,Male,"50, Atwal Path",Mandya,Mechanic,0,Opportunistic crime,46
Unni Atwal,,24,Male,"39/20, Chawla Nagar",Kolar,Unemployed,0,Opportunistic crime,48
Adweta Kale,,20,Male,"11/755, Gokhale Ganj",Bengaluru Rural,Laborer,1,Opportunistic crime,2
Aayush Pai,Barkha,34,Male,"079, Chauhan Circle",Vijayapura,Laborer,0,Opportunistic crime,10
Upkaar Mann,,22,Female,"25/017, Seshadri Chowk",Vijayapura,Unemployed,0,Opportunistic crime,37
Wakeeta Ravi,Dayita,30,Male,"196, Sridhar",Tumakuru,Laborer,0,Opportunistic crime,9
Udyati Sarna,,51,Male,"H.No. 084, Palla Road",Kalaburagi,Vendor,0,Opportunistic crime,21
Madhav Raju,,54,Male,"H.No. 942, Rout Path",Bidar,Vendor,0,Opportunistic crime,36
Devika Nadig,,40,Male,"H.No. 118, Peri Road",Koppal,Contractor,0,Opportunistic crime,41
Yuvraj Mishra,,26,Male,"578, Narayan",Hubballi-Dharwad,Vendor,0,Opportunistic crime,31
Chakradhar Thakkar,,36,Female,"27/04, Subramaniam Zila",Hassan,Mechanic,0,Opportunistic crime,37
Gagan Ravi,Jacob,19,Male,"955, Dara Ganj",Bengaluru Rural,Unemployed,0,Opportunistic crime,17
Charita Dhar,,22,Male,"40, Shere",Vijayapura,Driver,2,Opportunistic crime,17
Gautami Raghavan,Chavvi,28,Male,"34, Butala Marg",Koppal,Contractor,0,Opportunistic crime,6
Ekapad Hegde,,44,Female,"70/379, Devan Street",Raichur,Laborer,0,Opportunistic crime,29
Dalbir Desai,,37,Male,"H.No. 62, Mutti Street",Belagavi,Vendor,0,Opportunistic crime,50
Peter Aggarwal,,29,Female,"02/031, Bir Zila",Bengaluru Rural,Unemployed,1,Opportunistic crime,1
Fiyaz Singh,,55,Male,"701, Shenoy Marg",Bengaluru Urban,Contractor,1,Opportunistic crime,33
Advaith Palla,Falan,46,Male,"007, Dua Chowk",Bidar,Laborer,1,Opportunistic crime,18
Siya Comar,Ekansh,53,Male,"H.No. 01, Nori Marg",Kalaburagi,Driver,0,Opportunistic crime,19
George Dewan,Gayathri,44,Female,"63, Sachdev Path",Koppal,Laborer,1,Opportunistic crime,50
Jatin Sethi,,47,Male,"364, Dugar Nagar",Bengaluru Rural,Unemployed,0,Opportunistic crime,40
Ojas Dave,Jeremiah,24,Female,"711, Mahajan Marg",Tumakuru,Vendor,1,Opportunistic crime,7
Hardik Lad,,35,Female,"25/56, Garde Street",Bengaluru Urban,Contractor,1,Opportunistic crime,50
Oliver Dugal,Quincy,21,Male,"81, Nadkarni",Hubballi-Dharwad,Driver,0,Opportunistic crime,38
Chaitaly Mitter,Ekaja,38,Male,"72/38, Krishnamurthy Zila",Koppal,Delivery Boy,0,Opportunistic crime,19
Frederick Mishra,,39,Female,"H.No. 023, Ravi Path",Chikkamagaluru,Contractor,0,Opportunistic crime,2
Darpan Balasubramanian,Vyanjana,19,Male,"H.No. 28, Pandit Street",Mangaluru (Dakshina Kannada),Vendor,1,Opportunistic crime,9
Wahab Mitter,,46,Male,"45/074, Brar Marg",Belagavi,Mechanic,2,Opportunistic crime,21
Yashica Raju,,54,Male,"H.No. 104, Som Circle",Kalaburagi,Unemployed,1,Opportunistic crime,21
Kalpit Puri,,38,Female,"96/004, Grewal Ganj",Tumakuru,Contractor,0,Opportunistic crime,33
Utkarsh Devi,Veer,26,Male,"62/456, Gokhale Zila",Vijayapura,Delivery Boy,0,Opportunistic crime,7
Aarna Minhas,,18,Female,"69, Bahri Zila",Vijayapura,Vendor,0,Opportunistic crime,39
Jason Nath,Yutika,18,Female,"96, Hora Nagar",Ballari,Laborer,0,Opportunistic crime,15
Madhavi Varughese,,35,Male,"H.No. 624, Patla Nagar",Raichur,Laborer,0,Opportunistic crime,25
Manthan Solanki,,36,Male,"H.No. 18, Radhakrishnan Path",Ballari,Vendor,0,Opportunistic crime,5
Girik Rao,,26,Male,"15/863, Dalal Street",Bidar,Laborer,0,Opportunistic crime,23
Mugdha Lall,,51,Male,"57, Seshadri Zila",Udupi,Contractor,0,Opportunistic crime,46
Lekha Chadha,Falan,31,Male,"71/16, Sundaram Road",Bidar,Driver,0,Opportunistic crime,11
Baljiwan Palla,,19,Male,"438, Sridhar Circle",Udupi,Laborer,0,Opportunistic crime,45
Eiravati Dutt,Siddharth,52,Male,"25/31, Bhatti Path",Bidar,Driver,1,Opportunistic crime,29
Ishaan Brahmbhatt,,22,Male,"H.No. 838, Venkatesh Marg",Tumakuru,Vendor,1,Opportunistic crime,3
Faris Solanki,Tanmayi,55,Male,"07/599, Merchant Marg",Chikkamagaluru,Delivery Boy,0,Opportunistic crime,20
Faras Shukla,Ekani,48,Male,"31/176, Oommen Circle",Hassan,Driver,0,Opportunistic crime,28
Zashil Kade,,41,Female,"25, Nath",Vijayapura,Unemployed,0,Opportunistic crime,23
Timothy Keer,,25,Male,"H.No. 83, Deo",Vijayapura,Unemployed,0,Opportunistic crime,16
Zehaan Wagle,,55,Male,"027, Dash Zila",Davangere,Mechanic,0,Opportunistic crime,48
Harsh Tak,,40,Male,"49/43, Golla Marg",Belagavi,Contractor,2,Opportunistic crime,39
Vivaan Gala,,52,Male,"H.No. 989, Chaudhary Ganj",Hassan,Mechanic,0,Opportunistic crime,25
Owen Bora,,49,Female,"H.No. 089, Chander Path",Mangaluru (Dakshina Kannada),Mechanic,0,Opportunistic crime,27
Janya Bahri,,41,Male,"95/73, Konda Road",Udupi,Contractor,1,Opportunistic crime,42
Onveer Pai,Adweta,53,Male,"H.No. 07, Balasubramanian Path",Hassan,Contractor,0,Opportunistic crime,10
Jonathan Gade,Lavanya,33,Male,"H.No. 14, Borah Zila",Mandya,Contractor,0,Opportunistic crime,2
Zansi Patla,Anmol,44,Male,"092, Lall Nagar",Kalaburagi,Mechanic,0,Opportunistic crime,37
Victor Sarna,,41,Female,"09/81, Ghose Zila",Mandya,Driver,0,Opportunistic crime,49
Kabir Nagar,,20,Male,"H.No. 69, Padmanabhan Ganj",Chikkamagaluru,Contractor,0,Opportunistic crime,25
Noah Wable,,36,Male,"71/83, Gara Zila",Shivamogga,Delivery Boy,0,Opportunistic crime,20
George Bajaj,,55,Male,"H.No. 48, Rege Nagar",Bengaluru Urban,Delivery Boy,1,Opportunistic crime,22
Rajata Mohanty,,47,Male,"91/161, Krishnan Ganj",Bengaluru Urban,Mechanic,0,Opportunistic crime,2
Yatan Walla,,39,Male,"H.No. 96, Ramakrishnan Chowk",Raichur,Delivery Boy,1,Opportunistic crime,11
Kavya Wason,,34,Male,"887, Chaudry Path",Davangere,Unemployed,2,Opportunistic crime,25
Triveni Choudhury,,44,Male,"63, Wable Nagar",Belagavi,Mechanic,0,Opportunistic crime,4
Vamakshi Ghosh,,55,Male,"09/443, Shetty Street",Raichur,Delivery Boy,0,Opportunistic crime,12
Maanas Chauhan,Zilmil,28,Male,"02, Butala Nagar",Bengaluru Urban,Contractor,1,Opportunistic crime,40
Faraj Solanki,,47,Male,"502, Handa",Vijayapura,Contractor,0,Opportunistic crime,33
Kevin Pai,,37,Male,"356, Baria Circle",Vijayapura,Mechanic,1,Opportunistic crime,24
Yuvraj Chadha,,34,Male,"H.No. 080, Kale Nagar",Davangere,Contractor,0,Opportunistic crime,19
Kritika Nair,,39,Female,"26/88, Sehgal Ganj",Kolar,Vendor,0,Opportunistic crime,20
Jackson Bhatia,,53,Male,"04/931, Chadha Road",Tumakuru,Driver,0,Opportunistic crime,41
Rushil Shenoy,,25,Male,"H.No. 10, Mody Path",Mysuru,Driver,0,Opportunistic crime,22
Jairaj Pillai,,55,Male,"057, Dubey Nagar",Kalaburagi,Contractor,0,Opportunistic crime,13
Theodore Cherian,Kai,31,Male,"87, Khare Zila",Koppal,Contractor,0,Opportunistic crime,10
Saksham Deol,Waida,49,Male,"51/932, Raju Road",Tumakuru,Mechanic,1,Opportunistic crime,46
Xavier Dalal,,44,Female,"H.No. 61, Kuruvilla Path",Belagavi,Vendor,0,Opportunistic crime,2
Theodore Dewan,,35,Male,"35, Mutti Zila",Chikkamagaluru,Unemployed,0,Opportunistic crime,13
Jack Dass,Girindra,53,Male,"52, Tank Chowk",Tumakuru,Mechanic,0,Opportunistic crime,26
Ekalinga Saini,Anusha,25,Male,"33/865, Nagarajan Nagar",Kolar,Driver,0,Opportunistic crime,43
Jonathan Gade,Chaaya,45,Male,"609, Atwal Chowk",Hubballi-Dharwad,Mechanic,0,Opportunistic crime,23
Isaac Prasad,Ekantika,54,Male,"965, Srinivasan Circle",Mandya,Driver,0,Opportunistic crime,43
Chameli Mitter,Faqid,26,Male,"H.No. 528, Kakar Street",Mandya,Delivery Boy,0,Opportunistic crime,24
Wridesh Lall,,21,Male,"H.No. 211, Sengupta Ganj",Raichur,Delivery Boy,0,Opportunistic crime,17
Qarin Sura,Farhan,24,Female,"97/095, Mani Ganj",Mysuru,Vendor,0,Opportunistic crime,44
Jeevika Kannan,Samar,19,Male,"73/341, Chhabra Road",Kolar,Contractor,0,Opportunistic crime,45
Chatura Merchant,,31,Male,"306, Shankar Road",Bengaluru Urban,Delivery Boy,0,Opportunistic crime,27
Umang Devi,,51,Female,"692, Mittal Ganj",Bengaluru Urban,Contractor,0,Opportunistic crime,39
Krish Date,,29,Male,"29, Chokshi Road",Shivamogga,Driver,0,Opportunistic crime,30
Vidhi Swaminathan,,42,Female,"H.No. 84, Nadig Ganj",Davangere,Laborer,0,Opportunistic crime,39
Shivani Sastry,,41,Male,"34/199, Konda Path",Hubballi-Dharwad,Contractor,0,Opportunistic crime,37
Vaishnavi Bedi,,48,Male,"H.No. 900, Natarajan Road",Mandya,Delivery Boy,0,Opportunistic crime,43
Daksh Shankar,,20,Male,"353, Chatterjee Circle",Vijayapura,Vendor,0,Opportunistic crime,42
Lakshmi Lalla,,24,Male,"97/90, Mitra Nagar",Shivamogga,Mechanic,0,Opportunistic crime,10
Onkar Som,,24,Male,"H.No. 336, Srinivasan Circle",Udupi,Laborer,0,Opportunistic crime,7
Osha Chandran,,18,Male,"24/15, Swaminathan Nagar",Kolar,Laborer,0,Opportunistic crime,0
Harrison Kota,Manbir,24,Male,"514, Murty Marg",Vijayapura,Mechanic,1,Opportunistic crime,19
Zashil Ahuja,,35,Male,"957, Korpal Path",Shivamogga,Delivery Boy,1,Opportunistic crime,9
Jalsa Mangal,,52,Male,"H.No. 197, Raghavan Ganj",Ballari,Laborer,1,Opportunistic crime,8
Ayaan Sarma,Nisha,53,Male,"H.No. 815, Ghose Path",Davangere,Unemployed,0,Opportunistic crime,26
Avi Sawhney,Luke,21,Female,"35/240, Ganesh",Mysuru,Mechanic,0,Opportunistic crime,8
Xavier Mangal,,28,Female,"68, Madan Chowk",Mangaluru (Dakshina Kannada),Mechanic,0,Opportunistic crime,5
Arjun Goswami,,45,Male,"H.No. 267, Rana Road",Hubballi-Dharwad,Driver,0,Opportunistic crime,39
Oliver Bhat,,39,Male,"002, Sem Ganj",Belagavi,Laborer,0,Opportunistic crime,14
Naksh Taneja,,36,Male,"H.No. 71, Sha Circle",Bengaluru Urban,Laborer,0,Opportunistic crime,40
Manbir Dutta,,38,Male,"301, Hora",Vijayapura,Contractor,1,Opportunistic crime,42
Qarin Prabhu,,27,Male,"96/406, Bhargava Ganj",Chikkamagaluru,Laborer,0,Opportunistic crime,7
Ayushman Rout,Manan,26,Female,"35, Setty Nagar",Bengaluru Rural,Delivery Boy,2,Opportunistic crime,43
Rayaan Sunder,,51,Male,"H.No. 76, Palan Chowk",Mysuru,Driver,0,Opportunistic crime,43
Noah Anne,,30,Male,"95, Bora Street",Vijayapura,Delivery Boy,1,Opportunistic crime,6
Banjeet Tara,,47,Male,"30/52, Reddy Path",Vijayapura,Driver,0,Opportunistic crime,12
Daksh Agrawal,,28,Male,"H.No. 36, Pandey Marg",Chikkamagaluru,Driver,1,Opportunistic crime,25
Anthony Sandal,,46,Female,"997, Chanda Circle",Vijayapura,Mechanic,0,Opportunistic crime,32
Aarush Arora,,51,Male,"93/522, Kunda Ganj",Vijayapura,Delivery Boy,1,Opportunistic crime,34
Eesha Tata,Niharika,41,Male,"87/183, Pandit Street",Koppal,Mechanic,0,Opportunistic crime,8
Jagat Mani,,24,Male,"H.No. 55, Prasad Zila",Bengaluru Urban,Mechanic,0,Opportunistic crime,21
Harsh Mishra,,31,Male,"27/40, Mani Circle",Kalaburagi,Delivery Boy,1,Opportunistic crime,5
Chandani Sundaram,,50,Male,"H.No. 03, Acharya Marg",Raichur,Driver,0,Opportunistic crime,22
Shaurya Batra,Tamanna,40,Female,"48/87, Narang Nagar",Hassan,Driver,2,Opportunistic crime,6
Ishwar Kulkarni,,35,Male,"51/885, Andra Street",Belagavi,Vendor,1,Opportunistic crime,6
Robert Manne,Ati,31,Female,"H.No. 13, Dhar Road",Koppal,Mechanic,0,Opportunistic crime,9
Bishakha Bawa,,22,Male,"33/19, Acharya Circle",Hubballi-Dharwad,Unemployed,0,Opportunistic crime,5
Zehaan Oak,,34,Male,"30/368, Yohannan Circle",Shivamogga,Vendor,0,Opportunistic crime,0
Hema Chadha,,45,Male,"35, Bhandari Marg",Bidar,Unemployed,2,Opportunistic crime,40
Frederick Cheema,,43,Male,"H.No. 51, Chanda Marg",Hassan,Contractor,1,Opportunistic crime,16
Chakradev Tripathi,Saumya,23,Female,"10, Ghosh Street",Tumakuru,Mechanic,0,Opportunistic crime,41
Upasna Padmanabhan,Amara,46,Male,"98/80, Srinivasan Nagar",Kolar,Vendor,0,Opportunistic crime,17
Caleb Prashad,,50,Male,"H.No. 44, Kapur Ganj",Mandya,Mechanic,0,Opportunistic crime,44
William Hegde,,27,Female,"H.No. 314, Deshpande Road",Ballari,Delivery Boy,0,Opportunistic crime,5
Rushil Sridhar,Anthony,52,Male,"H.No. 430, Bir",Belagavi,Unemployed,1,Opportunistic crime,23
Nihal Bhakta,,51,Male,"H.No. 53, Rana Street",Davangere,Unemployed,1,Opportunistic crime,48
Udarsh Grover,Qasim,27,Male,"H.No. 685, Balan Nagar",Belagavi,Unemployed,1,Opportunistic crime,15
