fir_case_number,victim_full_name
KAR/RAI/2024/0056,Baghyawati Narula
KAR/BEL/2024/0057,Yatin Varughese
KAR/DAV/2024/0058,Mohammed Mohan
KAR/BEN/2024/0059,Manthan Char
KAR/BEN/2024/0060,Lila Pandey
KAR/CHI/2024/0061,Qasim Muni
KAR/HUB/2024/0062,Ranbir Doshi
KAR/UDU/2024/0063,Dayamai Chadha
KAR/KAL/2024/0064,Chaaya Pai
KAR/HUB/2024/0065,Dhriti Amble
KAR/RAI/2024/0066,Bahadurjit Hayer
KAR/KOL/2024/0067,Manya Kara
KAR/BEN/2024/0068,Rudra Mahal
KAR/DAV/2024/0069,Kashish Balasubramanian
KAR/KOL/2024/0070,Jonathan Baral
KAR/BEL/2024/0071,Zashil Sachar
KAR/BEN/2024/0072,Krish Seth
KAR/BEN/2024/0073,Januja Lal
KAR/KOL/2024/0074,Sathvik Shenoy
KAR/TUM/2024/0075,Darsh Balan
KAR/BEN/2024/0076,Vaishnavi Nagi
KAR/CHI/2024/0077,Nidra Apte
KAR/DAV/2024/0078,Samuel Barad
KAR/KAL/2024/0079,Osha Menon
KAR/MYS/2024/0080,Tripti Palla
KAR/SHI/2024/0081,Andrew Sharma
KAR/HAS/2024/0082,Pooja Narasimhan
KAR/TUM/2024/0083,Bhavani Shanker
KAR/SHI/2024/0084,Bachittar Mall
KAR/BID/2024/0085,Abhimanyu Lad
KAR/SHI/2024/0086,Imaran Sangha
KAR/HUB/2024/0087,Balvan Buch
KAR/CHI/2024/0088,Banjeet Bhavsar
KAR/BEN/2024/0089,Gavin Venkataraman
KAR/RAI/2024/0090,Faraj Yadav
KAR/BEN/2024/0091,Mohammed Baral
KAR/MYS/2024/0092,Jason Tiwari
KAR/RAI/2024/0093,Ikbal Khurana
KAR/BEN/2024/0094,Arjun Walla
KAR/DAV/2024/0095,Chandran Devan
KAR/MAN/2024/0096,Yoshita Master
KAR/BEN/2024/0097,Yashasvi Wali
KAR/BEN/2024/0098,Jai Gupta
KAR/BEN/2024/0099,Anay Arya
KAR/BEL/2024/0100,Qadim Brar
KAR/BEN/2024/0101,Jairaj Grover
KAR/BEN/2024/0102,Azaan Kothari
KAR/KOP/2024/0103,Xalak Sha
KAR/BEN/2024/0104,Amol Bail
KAR/DAV/2024/0105,Owen Kadakia
KAR/SHI/2024/0106,Xiti Dhingra
KAR/BEN/2024/0107,Benjamin Kuruvilla
KAR/KAL/2024/0108,Patrick Karnik
KAR/DAV/2024/0109,Yashodhara Pingle
KAR/BID/2024/0110,Benjamin Chada
KAR/SHI/2024/0111,Jeet Samra
KAR/BEN/2024/0112,Nidhi Banerjee
KAR/BEN/2024/0113,Gunbir Arora
KAR/HAS/2024/0114,Tanvi Parmer
KAR/CHI/2024/0115,Indrajit Gandhi
KAR/BEN/2024/0116,Widisha Yadav
KAR/RAI/2024/0117,Yashodhara Sachdeva
KAR/BEL/2024/0118,Ansh Das
KAR/KAL/2024/0119,Agastya Tailor
KAR/HAS/2024/0120,Jagdish Mahajan
KAR/BEL/2024/0121,Zansi Bahl
KAR/BEN/2024/0122,Tanmayi Gandhi
KAR/RAI/2024/0123,Ekansh Loyal
KAR/UDU/2024/0124,Tristan Handa
KAR/RAI/2024/0125,Jai Kara
KAR/BID/2024/0126,Thomas Banerjee
KAR/BEN/2024/0127,Balhaar Randhawa
KAR/BEN/2024/0128,Ayaan Patel
KAR/MAN/2024/0129,Netra Soni
KAR/BEN/2024/0130,Imaran Hayre
KAR/KAL/2024/0131,Jackson Saxena
KAR/BEN/2024/0132,Oeshi Peri
KAR/BEN/2024/0133,Hemani Shah
KAR/UDU/2024/0134,Jai De
KAR/CHI/2024/0135,Nihal Halder
KAR/BEN/2024/0136,Udarsh Gour
KAR/RAI/2024/0137,Oscar Bali
KAR/UDU/2024/0138,Saanvi Gala
KAR/BAL/2024/0139,Upma Gera
KAR/BEN/2024/0140,Charita Chaudhari
KAR/BEL/2024/0141,Baghyawati Karpe
KAR/MYS/2024/0142,Hredhaan Sodhi
KAR/SHI/2024/0143,Sanaya Khalsa
KAR/BEN/2024/0144,Logan Magar
KAR/BEN/2024/0145,Dalbir Patel
KAR/KOL/2024/0146,Gaurika Mukherjee
KAR/MAN/2024/0147,Yashawini Batra
KAR/BEN/2024/0148,Harrison Oak
KAR/KOP/2024/0149,Mohammed Padmanabhan
KAR/DAV/2024/0150,Xavier Balasubramanian
KAR/BEN/2024/0151,Oscar Chaudhari
KAR/BAL/2024/0152,Jackson Chand
KAR/MAN/2024/0153,Lakshit Dhawan
KAR/KOP/2024/0154,Urishilla Badal
KAR/MAN/2024/0155,Falak Mittal
KAR/KAL/2024/0156,Dominic Rajan
KAR/MAN/2024/0157,Wridesh Nagar
KAR/BEN/2024/0158,Matthew Anne
KAR/BID/2024/0159,Gunbir Sibal
KAR/BEN/2024/0160,Vihaan Banik
KAR/TUM/2024/0161,Oni Morar
KAR/BEN/2024/0162,Mohammed Iyengar
KAR/TUM/2024/0163,Priya Ahluwalia
KAR/CHI/2024/0164,Rayaan Lanka
KAR/BEN/2024/0165,Bimala Sandhu
KAR/KOL/2024/0166,Mitesh Tandon
KAR/BEN/2024/0167,Vedant Yohannan
KAR/HUB/2024/0168,Chaitaly Dhingra
KAR/BEN/2024/0169,Manan Chada
KAR/BEL/2024/0170,Tanmayi Baral
KAR/BAL/2024/0171,Qasim Varty
KAR/MAN/2024/0172,Bimala Bhatnagar
KAR/SHI/2024/0173,Harshil Vohra
KAR/BEN/2024/0174,Amrita Khurana
KAR/BEN/2024/0175,Atharv Kari
KAR/HAS/2024/0176,Ganga Buch
KAR/BEN/2024/0177,Mitesh Dua
KAR/KOL/2024/0178,Maya Sule
KAR/BEN/2024/0179,Arunima Oza
KAR/KOL/2024/0180,Aryan Khurana
KAR/KAL/2024/0181,Veda Thaman
KAR/MAN/2024/0182,Lakshmi Bahri
KAR/BEL/2024/0183,Bhavika Menon
KAR/SHI/2024/0184,Kashvi Manne
KAR/BEN/2024/0185,Darpan Din
KAR/KOP/2024/0186,Aradhana Rao
KAR/BEN/2024/0187,Yug Dutt
KAR/HAS/2024/0188,Yashodhara Madan
KAR/BEN/2024/0189,Yadavi Bumb
KAR/MAN/2024/0190,Lucky Natarajan
KAR/BEN/2024/0191,Ishita Om
KAR/KAL/2024/0192,Dayita Issac
KAR/DAV/2024/0193,Hiral Mangat
KAR/UDU/2024/0194,Aashi Atwal
KAR/RAI/2024/0195,Xavier Gopal
KAR/BAL/2024/0196,Daksh Sachdeva
KAR/BEN/2024/0197,Michael Dhingra
KAR/KOL/2024/0198,Kai Bal
KAR/KOP/2024/0199,Abdul Dasgupta
KAR/KOL/2024/0200,Dayamai Toor
KAR/BEN/2024/0201,Reyansh Mandal
KAR/BEN/2024/0202,Keya Comar
KAR/BEN/2024/0203,Liam Ratta
KAR/BEN/2024/0204,Diya Dhar
KAR/MAN/2024/0205,Tristan Jha
KAR/BEN/2024/0206,Dhruv Dube
KAR/SHI/2024/0207,Ekiya Lalla
KAR/HAS/2024/0208,Unni Dora
KAR/TUM/2024/0209,Aayush Raja
KAR/BEL/2024/0210,Nitara Johal
KAR/SHI/2024/0211,Janaki Soni
KAR/HUB/2024/0212,Rajeshri Khalsa
KAR/BEN/2024/0213,Krish Thaker
KAR/BEN/2024/0214,Dipta Hayre
KAR/MYS/2024/0215,Avi Bedi
KAR/BEN/2024/0216,Fariq Prakash
KAR/HAS/2024/0217,Chaman Vaidya
KAR/TUM/2024/0218,Saksham Bali
KAR/BID/2024/0219,Mohammed Nadkarni
KAR/VIJ/2024/0220,Darika Reddy
KAR/BEN/2024/0221,Sai Barad
KAR/BEN/2024/0222,Ikshita Bail
KAR/BEL/2024/0223,Sudiksha Balasubramanian
KAR/BEN/2024/0224,Rachit Khosla
KAR/BEN/2024/0225,Christopher Prasad
KAR/BEN/2024/0226,Hredhaan Krishnan
KAR/MAN/2024/0227,Anita Dugar
KAR/BEN/2024/0228,Keya Subramanian
KAR/BEN/2024/0229,Tanmayi Singh
KAR/MYS/2024/0230,Dayita Brar
KAR/RAI/2024/0231,Arjun Rattan
KAR/HUB/2024/0232,Krisha Deep
KAR/RAI/2024/0233,Zehaan Prabhu
KAR/TUM/2024/0234,Teerth Khatri
KAR/DAV/2024/0235,Aadi Nagar
KAR/BEN/2024/0236,Jeet Dani
KAR/BAL/2024/0237,Sarthak Karnik
KAR/HAS/2024/0238,Jagdish Dani
KAR/SHI/2024/0239,Nilima Agrawal
KAR/BEN/2024/0240,Adya Hayer
KAR/HUB/2024/0241,Yoshita Mani
KAR/BAL/2024/0242,Om Mander
KAR/MAN/2024/0243,Chatresh Shenoy
KAR/UDU/2024/0244,Jyoti Madan
KAR/RAI/2024/0245,Meera Jani
KAR/MAN/2024/0246,Yatin Raja
KAR/DAV/2024/0247,Radhika Sheth
KAR/BEN/2024/0248,Nirja Upadhyay
KAR/RAI/2024/0249,Reyansh Gera
KAR/MAN/2024/0250,Naksh Bhakta
KAR/KOL/2024/0251,Amol Kumar
KAR/MYS/2024/0252,Indrajit Agate
KAR/BEN/2024/0253,Chakrika Khatri
KAR/BEN/2024/0254,Omkaar Agate
KAR/BEN/2024/0255,Azaan Arya
KAR/VIJ/2024/0256,Rachit Banerjee
KAR/CHI/2024/0257,Vasatika Srinivasan
KAR/MAN/2024/0258,Jagvi Atwal
KAR/BEN/2024/0259,Luke Bhardwaj
KAR/MYS/2024/0260,Jackson Madan
KAR/MAN/2024/0261,Jeremiah Patla
KAR/CHI/2024/0262,Rohan Khanna
KAR/BEN/2024/0263,Ayaan Khurana
KAR/RAI/2024/0264,Oeshi Biswas
KAR/BID/2024/0265,Anthony Bail
KAR/BEN/2024/0266,Anya Morar
KAR/VIJ/2024/0267,Ijaya Lall
KAR/DAV/2024/0268,Widisha Kapoor
KAR/VIJ/2024/0269,Ikshita Sha
KAR/BEN/2024/0270,Henry Rajagopal
KAR/BEN/2024/0271,Shaurya Sama
KAR/VIJ/2024/0272,Vedant Johal
KAR/BEN/2024/0273,Qarin Keer
KAR/VIJ/2024/0274,Gaurangi Oza
KAR/BEN/2024/0275,Omkaar Anne
KAR/BEN/2024/0276,Zilmil Sant
KAR/DAV/2024/0277,Chasmum Ramakrishnan
KAR/DAV/2024/0278,Anika Sandhu
KAR/UDU/2024/0279,Guneet Tella
KAR/SHI/2024/0280,Anjali Bhandari
KAR/KOL/2024/0281,Jackson Gera
KAR/BEN/2024/0282,Ayush Venkatesh
KAR/BEN/2024/0283,Sudiksha Bhakta
KAR/DAV/2024/0284,Hemal Bail
KAR/BEN/2024/0285,Odika Wadhwa
KAR/BAL/2024/0286,Zinal Pandey
KAR/BEN/2024/0287,Sathvik Hayer
KAR/BEN/2024/0288,Praneel Thakur
KAR/VIJ/2024/0289,Liam Dutt
KAR/RAI/2024/0290,Ronith Dada
KAR/KAL/2024/0291,Jason Nath
KAR/DAV/2024/0292,Jagrati Borra
KAR/TUM/2024/0293,Gaurang Bassi
KAR/HAS/2024/0294,Reyansh Kara
KAR/KAL/2024/0295,Yashodhara Borde
KAR/BEN/2024/0296,Anmol Bala
KAR/MAN/2024/0297,Aayush Karan
KAR/BEN/2024/0298,Balhaar Raval
KAR/BEN/2024/0299,Ria Sunder
KAR/BEN/2024/0300,Ekalinga Sodhi
KAR/BEL/2024/0301,Riya Kurian
KAR/DAV/2024/0302,Simon Dash
KAR/MYS/2024/0303,Warhi Bedi
KAR/BEN/2024/0304,Urmi Wadhwa
KAR/BAL/2024/0305,Gautami Hayer
KAR/BEN/2024/0306,Chakradev Chad
KAR/BEN/2024/0307,Harinakshi Nayak
KAR/MAN/2024/0308,Chakradev Singh
KAR/TUM/2024/0309,Chatresh Ram
KAR/BEN/2024/0310,Gaurav Parmer
KAR/MYS/2024/0311,Xalak Viswanathan
KAR/MYS/2024/0312,Mitesh Radhakrishnan
KAR/UDU/2024/0313,Ekalinga Das
KAR/VIJ/2024/0314,Qabil Mital
KAR/CHI/2024/0315,Yamini Jha
KAR/SHI/2024/0316,Banjeet Sidhu
KAR/SHI/2024/0317,Nitara Merchant
KAR/KOL/2024/0318,Siddharth Kalita
KAR/BEN/2024/0319,Zarna Dugar
KAR/BEN/2024/0320,Rohan Gill
KAR/UDU/2024/0321,Rushil Bedi
KAR/KOP/2024/0322,George Bhandari
KAR/BEN/2024/0323,Chatura Cheema
KAR/RAI/2024/0324,Inaya Manne
KAR/BEN/2024/0325,Omisha Deshmukh
KAR/BEN/2024/0326,Girish Kapadia
KAR/BEL/2024/0327,Chandresh Bhatt
KAR/MAN/2024/0328,Devansh Dass
KAR/BID/2024/0329,Ekaraj Kanda
KAR/KAL/2024/0330,Samesh Bir
KAR/BEN/2024/0331,Chanakya Dalal
KAR/RAI/2024/0332,Vinaya Solanki
KAR/BEN/2024/0333,Aayush Gopal
KAR/BAL/2024/0334,Mason Mittal
KAR/HAS/2024/0335,Hemang Pillai
KAR/BEN/2024/0336,Anusha Kakar
KAR/RAI/2024/0337,Pallavi Gokhale
KAR/BEN/2024/0338,Gavin Wali
KAR/MAN/2024/0339,Balhaar Misra
KAR/MYS/2024/0340,Henry Banerjee
KAR/BEN/2024/0341,Aditya Toor
KAR/BEN/2024/0342,Waida Dhaliwal
KAR/MAN/2024/0343,Lajita Kala
KAR/MAN/2024/0344,Saksham Kulkarni
KAR/KOP/2024/0345,Zilmil Deep
KAR/VIJ/2024/0346,Ekavir Choudhry
KAR/BEN/2024/0347,Raghav Mallick
KAR/SHI/2024/0348,Vamakshi Shukla
KAR/HAS/2024/0349,Ubika Bail
KAR/BEN/2024/0350,Wridesh Wable
KAR/MAN/2024/0351,Balveer Purohit
KAR/BEN/2024/0352,Turvi Kadakia
KAR/BEN/2024/0353,Gaurika Walia
KAR/BEN/2024/0354,Caleb Raja
KAR/HUB/2024/0355,Kashish Butala
KAR/BEN/2024/0356,Mason Patel
KAR/BEN/2024/0357,Bishakha Lad
KAR/MAN/2024/0358,Divya Vaidya
KAR/MAN/2024/0359,Kavya Chowdhury
KAR/SHI/2024/0360,Arya Kashyap
KAR/UDU/2024/0361,Ikshita Bath
KAR/BEN/2024/0362,Kavya Chopra
KAR/BEN/2024/0363,Theodore Ganesan
KAR/BEN/2024/0364,Jonathan Chander
KAR/BEN/2024/0365,Saanvi Sampath
KAR/BEN/2024/0366,Hemang Chadha
KAR/KOL/2024/0367,Abha Kulkarni
KAR/MAN/2024/0368,Harrison Borah
KAR/UDU/2024/0369,Alka Mohanty
KAR/BEN/2024/0370,Falak Sharaf
KAR/BEN/2024/0371,Chandani Brahmbhatt
KAR/RAI/2024/0372,Aryan Dalal
KAR/UDU/2024/0373,Guneet Kakar
KAR/RAI/2024/0374,Lila Mangal
KAR/DAV/2024/0375,Naveen Varghese
KAR/KOP/2024/0376,Ekiya Virk
KAR/SHI/2024/0377,Amaira Keer
KAR/TUM/2024/0378,Amrita Lal
KAR/BID/2024/0379,Devika Bhandari
KAR/BEN/2024/0380,Aarush Sridhar
KAR/MAN/2024/0381,Forum Ravel
KAR/KOL/2024/0382,Charles Shah
KAR/TUM/2024/0383,Dalbir Mahajan
KAR/BEN/2024/0384,Zarna Biswas
KAR/BAL/2024/0385,Yug Natarajan
KAR/KOL/2024/0386,Matthew Gole
KAR/SHI/2024/0387,Kala Chhabra
KAR/VIJ/2024/0388,Urishilla Mallick
KAR/BEN/2024/0389,Vasudha Nadig
KAR/BEN/2024/0390,Caleb Ram
KAR/BEN/2024/0391,Chavvi Kalla
KAR/VIJ/2024/0392,Wishi Walia
KAR/MAN/2024/0393,Yug Thaman
KAR/SHI/2024/0394,Warjas Das
KAR/MAN/2024/0395,Lucky Kumer
KAR/BEN/2024/0396,Gaurangi Bose
KAR/MAN/2024/0397,Ladli Bahri
KAR/BEN/2024/0398,Januja Gera
KAR/HUB/2024/0399,Qabil Bal
KAR/BEL/2024/0400,Azaan Grover
KAR/SHI/2024/0401,Chakradev Devi
KAR/HUB/2024/0402,Yashoda Pathak
KAR/BEN/2024/0403,Ojas Amble
KAR/HUB/2024/0404,Ojasvi Sinha
KAR/BEL/2024/0405,Tejas Bajaj
KAR/HUB/2024/0406,Yashvi Ben
KAR/KOP/2024/0407,Chandresh Merchant
KAR/BEN/2024/0408,Jeremiah Uppal
KAR/BEN/2024/0409,Arunima Narula
KAR/BEN/2024/0410,Bakhshi Hora
KAR/MAN/2024/0411,Vyanjana Varty
KAR/SHI/2024/0412,Urvi Hegde
KAR/KAL/2024/0413,Oscar Srinivasan
KAR/BID/2024/0414,Ikbal Nigam
KAR/BEN/2024/0415,Nimrat Bansal
KAR/UDU/2024/0416,Aadi Sane
KAR/MAN/2024/0417,Zansi Sachdeva
KAR/KAL/2024/0418,Ekbal Chokshi
KAR/TUM/2024/0419,Mohini Banik
KAR/BEN/2024/0420,Omya Sarraf
KAR/BID/2024/0421,Manbir Dhillon
KAR/BEN/2024/0422,Michael Lad
KAR/MYS/2024/0423,Omkaar Kashyap
KAR/HAS/2024/0424,Yauvani Mohanty
KAR/BEN/2024/0425,Bahadurjit Pradhan
KAR/BEN/2024/0426,Adweta Arora
KAR/KOL/2024/0427,Urmi Bobal
KAR/MAN/2024/0428,Ranbir Dasgupta
KAR/UDU/2024/0429,Umang Grewal
KAR/UDU/2024/0430,Aadi Bobal
KAR/DAV/2024/0431,Zaitra Rana
KAR/MAN/2024/0432,Upadhriti Sem
KAR/BAL/2024/0433,Manya Peri
KAR/RAI/2024/0434,Charles Korpal
KAR/UDU/2024/0435,Maanas Bains
KAR/BEN/2024/0436,Chatresh Munshi
KAR/UDU/2024/0437,Manya Shetty
KAR/BEN/2024/0438,Priya Ahuja
KAR/BEN/2024/0439,Kashvi Trivedi
KAR/BEL/2024/0440,Frederick Thaker
KAR/VIJ/2024/0441,Veer Dara
KAR/BAL/2024/0442,Maya Lal
KAR/BEN/2024/0443,Rajeshri Joshi
KAR/BEN/2024/0444,Aarna Naik
KAR/KAL/2024/0445,Tripti Mishra
KAR/BEN/2024/0446,Triveni Kalita
KAR/RAI/2024/0447,Viraj Kunda
KAR/BEN/2024/0448,Yashasvi Barman
KAR/HAS/2024/0449,Dayita Tank
KAR/MAN/2024/0450,Isha Misra
KAR/BEN/2024/0451,Ikshita Mallick
KAR/HUB/2024/0452,Maanas Subramanian
KAR/MYS/2024/0453,Charles Kala
KAR/BEN/2024/0454,Adweta Kunda
KAR/MAN/2024/0455,Wishi Narayanan
KAR/KOP/2024/0456,Chaitaly Pillai
KAR/BID/2024/0457,Kamya Butala
KAR/TUM/2024/0458,Darsh Agate
KAR/HAS/2024/0459,Nidra Dass
KAR/CHI/2024/0460,Urvi Joshi
KAR/KAL/2024/0461,Azad Shan
KAR/BEN/2024/0462,Yashoda Dua
KAR/KOP/2024/0463,Indira Chand
KAR/SHI/2024/0464,Oviya Jani
KAR/HAS/2024/0465,Daniel Rattan
KAR/HAS/2024/0466,Gabriel Soman
KAR/BEN/2024/0467,Tanay Muni
KAR/MAN/2024/0468,Jeet Sankaran
KAR/TUM/2024/0469,Shivani Sahota
KAR/RAI/2024/0470,Mugdha Chowdhury
KAR/BID/2024/0471,Ikbal Zacharia
KAR/UDU/2024/0472,Chakradhar Sundaram
KAR/KOL/2024/0473,Hredhaan Rau
KAR/BEN/2024/0474,Neel Gola
KAR/BEN/2024/0475,Jeet Gara
KAR/BID/2024/0476,Darika Cherian
KAR/BEN/2024/0477,Panini Andra
KAR/RAI/2024/0478,Unnati Wagle
KAR/MYS/2024/0479,Wridesh Bahl
KAR/BEL/2024/0480,Vasudha Gulati
KAR/DAV/2024/0481,Kamya Bava
KAR/MYS/2024/0482,Pranav Din
KAR/MYS/2024/0483,Balhaar Agarwal
KAR/MAN/2024/0484,Chandani Bhardwaj
KAR/MYS/2024/0485,Omya Lall
KAR/BEN/2024/0486,Amara Patla
KAR/BAL/2024/0487,Oviya Sarin
KAR/MAN/2024/0488,Unni Chana
KAR/MAN/2024/0489,Chavvi Kari
KAR/VIJ/2024/0490,Atharv Nadkarni
KAR/KOL/2024/0491,Jonathan Prabhu
KAR/BEN/2024/0492,Praneel Ramanathan
KAR/HAS/2024/0493,Darsh Parmar
KAR/BEN/2024/0494,Chatura Bhardwaj
KAR/BEN/2024/0495,Manan Mangat
KAR/MYS/2024/0496,Jairaj Joshi
KAR/CHI/2024/0497,Ubika Gaba
KAR/BEN/2024/0498,Sanaya Tank
KAR/SHI/2024/0499,Upma Mannan
KAR/KOP/2024/0500,Wriddhish Sanghvi
KAR/MAN/2024/0501,Bhavna Chana
KAR/BEN/2024/0502,Charles Dey
KAR/BEN/2024/0503,Arin Kaul
KAR/BEN/2024/0504,Hema Bhardwaj
KAR/BEN/2024/0505,Benjamin Nadkarni
KAR/BEN/2024/0506,Turvi Badal
KAR/BEN/2024/0507,Kashvi Bava
KAR/KAL/2024/0508,Abdul Mutti
KAR/MAN/2024/0509,Yash Sundaram
KAR/BEN/2024/0510,Xiti Buch
KAR/KAL/2024/0511,Lavanya Mall
KAR/VIJ/2024/0512,Ishanvi Sama
KAR/MYS/2024/0513,Veda Oommen
KAR/KAL/2024/0514,Aditya Sarin
KAR/RAI/2024/0515,Mohini Choudhury
KAR/KAL/2024/0516,Advik Luthra
KAR/KOP/2024/0517,Vinaya Shetty
KAR/HAS/2024/0518,Logan Nair
KAR/SHI/2024/0519,Lucky Sen
KAR/BEN/2024/0520,Mitesh Dugar
KAR/HUB/2024/0521,Kai Barman
KAR/BEN/2024/0522,Ekantika Edwin
KAR/BEN/2024/0523,Bhavani Dhingra
KAR/BEL/2024/0524,Yachana Pandya
KAR/BEN/2024/0525,Michael Peri
KAR/BEN/2024/0526,Mugdha Rastogi
KAR/BEN/2024/0527,Manbir Dixit
KAR/BEN/2024/0528,Umang Chauhan
KAR/BEN/2024/0529,Jagdish Bandi
KAR/BEL/2024/0530,Waida Gopal
KAR/BEN/2024/0531,Aahana Sundaram
KAR/TUM/2024/0532,Kamya Uppal
KAR/UDU/2024/0533,Aadhya Ray
KAR/BEN/2024/0534,Januja Varughese
KAR/BEN/2024/0535,Adweta Borah
KAR/UDU/2024/0536,Farhan Prabhakar
KAR/BEN/2024/0537,Yash Dutt
KAR/TUM/2024/0538,Logan Pingle
KAR/SHI/2024/0539,Wahab Tank
KAR/UDU/2024/0540,Saumya Kala
KAR/MAN/2024/0541,Gopal Munshi
KAR/CHI/2024/0542,Pavani Batra
KAR/BID/2024/0543,Adya Sharaf
KAR/BEN/2024/0544,Peter Kamdar
KAR/VIJ/2024/0545,Patrick Choudhury
KAR/BEN/2024/0546,Yashica Pal
KAR/DAV/2024/0547,Chaitaly Chaudhry
KAR/BEL/2024/0548,Daksh Kuruvilla
KAR/DAV/2024/0549,Widisha Dua
KAR/KOL/2024/0550,Fitan Ghose
KAR/BEN/2024/0551,Bahadurjit Chaudhari
KAR/UDU/2024/0552,Omkaar Karan
KAR/BEN/2024/0553,Zashil Sankaran
KAR/VIJ/2024/0554,Urishilla Roy
KAR/KOL/2024/0555,Siddharth Mangal
KAR/CHI/2024/0556,Abhimanyu Krish
KAR/BEN/2024/0557,Aahana Subramaniam
KAR/BEN/2024/0558,Radha Konda
KAR/BID/2024/0559,Aarnav Garg
KAR/SHI/2024/0560,Rohan Guha
KAR/BEN/2024/0561,Sai Tara
KAR/BEN/2024/0562,Chaaya Bora
KAR/HUB/2024/0563,Tanay Kalita
KAR/TUM/2024/0564,Warinder Sanghvi
KAR/BEN/2024/0565,Aarna Shenoy
KAR/BEN/2024/0566,Leela Seshadri
KAR/BEN/2024/0567,Nathan Bhakta
KAR/MAN/2024/0568,Rohan Deep
KAR/VIJ/2024/0569,Ekiya Bir
KAR/UDU/2024/0570,Yatan Som
KAR/RAI/2024/0571,Joshua Peri
KAR/BEN/2024/0572,Nisha Mital
KAR/KOL/2024/0573,Divya Dash
KAR/RAI/2024/0574,Yahvi Sandhu
KAR/BEN/2024/0575,Sanya Borde
KAR/BEN/2024/0576,Peter Ramachandran
KAR/BEN/2024/0577,Daksh Palla
KAR/BID/2024/0578,Tripti Char
KAR/BEN/2024/0579,Isaiah Comar
KAR/BEN/2024/0580,Kritika Dutta
KAR/MAN/2024/0581,Vivaan Goel
KAR/VIJ/2024/0582,Avi Raghavan
KAR/KAL/2024/0583,Xalak Seth
KAR/SHI/2024/0584,Triveni Rege
KAR/BEL/2024/0585,Vedika Dixit
KAR/RAI/2024/0586,Kavya Hora
KAR/BEL/2024/0587,Ethan Pillai
KAR/TUM/2024/0588,Avni Gour
KAR/BEN/2024/0589,Udarsh Sarin
KAR/BID/2024/0590,Teerth Hans
KAR/CHI/2024/0591,Chasmum Soman
KAR/BEN/2024/0592,Dayamai Zachariah
KAR/BEN/2024/0593,Harini Suresh
KAR/UDU/2024/0594,Yashasvi Handa
KAR/BEN/2024/0595,Finn Nath
KAR/KOL/2024/0596,Banjeet Guha
KAR/UDU/2024/0597,Yashica Nori
KAR/BEL/2024/0598,Yagnesh Ratti
KAR/BEN/2024/0599,Rachit Thakkar
KAR/MAN/2024/0600,Vanya Shukla
KAR/MAN/2024/0601,Amrita Varghese
KAR/VIJ/2024/0602,Naveen Hegde
KAR/KOL/2024/0603,Qushi Parikh
